sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot
0,20183,96,112,neutral,0,frame_0000.png
2,20185,96,112,neutral,1,frame_0002.png
4,20187,96,112,neutral,2,frame_0004.png
6,20189,96,112,neutral,3,frame_0006.png
8,20191,96,112,neutral,4,frame_0008.png
10,20193,96,112,neutral,5,frame_0010.png
12,20195,96,112,neutral,6,frame_0012.png
14,20197,96,112,neutral,7,frame_0014.png
16,20199,96,112,neutral,8,frame_0016.png
18,20201,96,112,neutral,9,frame_0018.png
20,20203,96,112,neutral,10,frame_0020.png
22,20205,96,112,neutral,11,frame_0022.png
24,20207,96,112,neutral,12,frame_0024.png
26,20209,96,112,neutral,13,frame_0026.png
28,20211,96,112,neutral,14,frame_0028.png
30,20213,96,112,neutral,15,frame_0030.png
32,20215,96,112,neutral,16,frame_0032.png
34,20217,96,112,neutral,17,frame_0034.png
36,20219,96,112,neutral,18,frame_0036.png
38,20221,96,112,neutral,19,frame_0038.png
40,20223,96,112,neutral,20,frame_0040.png
42,20225,96,112,neutral,21,frame_0042.png
44,20227,96,112,neutral,22,frame_0044.png
46,20229,96,112,neutral,23,frame_0046.png
48,20231,96,112,neutral,24,frame_0048.png
50,20233,96,112,neutral,25,frame_0050.png
52,20235,96,112,neutral,26,frame_0052.png
54,20237,96,112,neutral,27,frame_0054.png
56,20239,96,112,neutral,28,frame_0056.png
58,20241,96,112,neutral,29,frame_0058.png
60,20243,96,112,neutral,30,frame_0060.png
560,20743,96,112,neutral,31,frame_0560.png
562,20745,96,112,neutral,32,frame_0562.png
564,20747,96,236,neutral,33,frame_0564.png
566,20749,96,112,neutral,34,frame_0566.png
568,20751,96,112,neutral,35,frame_0568.png
570,20753,96,112,neutral,36,frame_0570.png
572,20755,96,112,neutral,37,frame_0572.png
574,20757,96,112,neutral,38,frame_0574.png
576,20759,96,112,neutral,39,frame_0576.png
578,20761,96,112,neutral,40,frame_0578.png
580,20763,96,112,neutral,41,frame_0580.png
582,20765,96,112,neutral,42,frame_0582.png
584,20767,96,112,neutral,43,frame_0584.png
586,20769,96,112,neutral,44,frame_0586.png
588,20771,96,112,neutral,45,frame_0588.png
590,20773,96,224,neutral,46,frame_0590.png
592,20775,96,112,neutral,47,frame_0592.png
594,20777,96,112,neutral,48,frame_0594.png
596,20779,96,112,neutral,49,frame_0596.png
598,20781,96,112,neutral,50,frame_0598.png
600,20783,96,112,neutral,51,frame_0600.png
602,20785,96,112,neutral,52,frame_0602.png
604,20787,96,112,neutral,53,frame_0604.png
606,20789,96,192,neutral,54,frame_0606.png
608,20791,96,112,neutral,55,frame_0608.png
610,20793,96,112,neutral,56,frame_0610.png
612,20795,96,112,neutral,57,frame_0612.png
614,20797,96,112,neutral,58,frame_0614.png
616,20799,96,112,neutral,59,frame_0616.png
618,20801,96,112,neutral,60,frame_0618.png
620,20803,96,112,neutral,61,frame_0620.png
622,20805,96,160,neutral,62,frame_0622.png
624,20807,96,112,neutral,63,frame_0624.png
626,20809,96,112,neutral,64,frame_0626.png
