"sample","emu_frame","snapshot_index","component","pixels","min_x","max_x","min_y","max_y","center_x","center_y","screenshot","interpretation"
"550","20733","31","0","13","182","187","93","97","184.5","95","frame_0550.png","unclassified green sprite pixels"
"550","20733","31","1","13","221","226","93","97","223.5","95","frame_0550.png","unclassified green sprite pixels"
"550","20733","31","2","4","190","191","95","97","190.5","96","frame_0550.png","unclassified green sprite pixels"
"550","20733","31","3","4","229","230","95","97","229.5","96","frame_0550.png","unclassified green sprite pixels"
"550","20733","31","4","19","193","197","96","102","195","99","frame_0550.png","unclassified green sprite pixels"
"550","20733","31","5","19","232","236","96","102","234","99","frame_0550.png","unclassified green sprite pixels"
"550","20733","31","6","8","199","201","101","103","200","102","frame_0550.png","unclassified green sprite pixels"
"550","20733","31","7","8","238","240","101","103","239","102","frame_0550.png","unclassified green sprite pixels"
"552","20735","32","0","13","185","190","93","97","187.5","95","frame_0552.png","unclassified green sprite pixels"
"552","20735","32","1","13","224","229","93","97","226.5","95","frame_0552.png","unclassified green sprite pixels"
"552","20735","32","2","4","193","194","95","97","193.5","96","frame_0552.png","unclassified green sprite pixels"
"552","20735","32","3","4","232","233","95","97","232.5","96","frame_0552.png","unclassified green sprite pixels"
"552","20735","32","4","19","196","200","96","102","198","99","frame_0552.png","unclassified green sprite pixels"
"552","20735","32","5","19","235","239","96","102","237","99","frame_0552.png","unclassified green sprite pixels"
"552","20735","32","6","8","202","204","101","103","203","102","frame_0552.png","unclassified green sprite pixels"
"552","20735","32","7","8","241","243","101","103","242","102","frame_0552.png","unclassified green sprite pixels"
"554","20737","33","0","13","188","193","93","97","190.5","95","frame_0554.png","unclassified green sprite pixels"
"554","20737","33","1","13","227","232","93","97","229.5","95","frame_0554.png","unclassified green sprite pixels"
"554","20737","33","2","4","196","197","95","97","196.5","96","frame_0554.png","unclassified green sprite pixels"
"554","20737","33","3","4","235","236","95","97","235.5","96","frame_0554.png","unclassified green sprite pixels"
"554","20737","33","4","19","199","203","96","102","201","99","frame_0554.png","unclassified green sprite pixels"
"554","20737","33","5","19","238","242","96","102","240","99","frame_0554.png","unclassified green sprite pixels"
"554","20737","33","6","8","205","207","101","103","206","102","frame_0554.png","unclassified green sprite pixels"
"554","20737","33","7","8","244","246","101","103","245","102","frame_0554.png","unclassified green sprite pixels"
"556","20739","34","0","13","192","197","93","97","194.5","95","frame_0556.png","unclassified green sprite pixels"
"556","20739","34","1","13","231","236","93","97","233.5","95","frame_0556.png","unclassified green sprite pixels"
"556","20739","34","2","4","200","201","95","97","200.5","96","frame_0556.png","unclassified green sprite pixels"
"556","20739","34","3","4","239","240","95","97","239.5","96","frame_0556.png","unclassified green sprite pixels"
"556","20739","34","4","19","203","207","96","102","205","99","frame_0556.png","unclassified green sprite pixels"
"556","20739","34","5","19","242","246","96","102","244","99","frame_0556.png","unclassified green sprite pixels"
"556","20739","34","6","8","209","211","101","103","210","102","frame_0556.png","unclassified green sprite pixels"
"556","20739","34","7","8","248","250","101","103","249","102","frame_0556.png","unclassified green sprite pixels"
"558","20741","35","0","13","195","200","93","97","197.5","95","frame_0558.png","unclassified green sprite pixels"
"558","20741","35","1","13","234","239","93","97","236.5","95","frame_0558.png","unclassified green sprite pixels"
"558","20741","35","2","4","203","204","95","97","203.5","96","frame_0558.png","unclassified green sprite pixels"
"558","20741","35","3","4","242","243","95","97","242.5","96","frame_0558.png","unclassified green sprite pixels"
"558","20741","35","4","19","206","210","96","102","208","99","frame_0558.png","unclassified green sprite pixels"
"558","20741","35","5","19","245","249","96","102","247","99","frame_0558.png","unclassified green sprite pixels"
"558","20741","35","6","8","212","214","101","103","213","102","frame_0558.png","unclassified green sprite pixels"
"558","20741","35","7","8","251","253","101","103","252","102","frame_0558.png","unclassified green sprite pixels"
"560","20743","36","0","13","199","204","93","97","201.5","95","frame_0560.png","unclassified green sprite pixels"
"560","20743","36","1","13","238","243","93","97","240.5","95","frame_0560.png","unclassified green sprite pixels"
"560","20743","36","2","4","207","208","95","97","207.5","96","frame_0560.png","unclassified green sprite pixels"
"560","20743","36","3","4","246","247","95","97","246.5","96","frame_0560.png","unclassified green sprite pixels"
"560","20743","36","4","19","210","214","96","102","212","99","frame_0560.png","unclassified green sprite pixels"
"560","20743","36","5","19","249","253","96","102","251","99","frame_0560.png","unclassified green sprite pixels"
"560","20743","36","6","8","216","218","101","103","217","102","frame_0560.png","unclassified green sprite pixels"
"560","20743","36","7","2","255","255","102","103","255","102.5","frame_0560.png","unclassified green sprite pixels"
