sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot,legacy_y_scratch
0,20183,96,112,neutral,0,frame_0000.png,112
2,20185,96,107,neutral,1,frame_0002.png,109
4,20187,96,102,neutral,2,frame_0004.png,104
6,20189,96,97,neutral,3,frame_0006.png,99
8,20191,96,92,neutral,4,frame_0008.png,94
10,20193,96,87,neutral,5,frame_0010.png,89
12,20195,96,82,neutral,6,frame_0012.png,84
14,20197,96,77,neutral,7,frame_0014.png,79
16,20199,96,72,neutral,8,frame_0016.png,74
18,20201,96,67,neutral,9,frame_0018.png,69
20,20203,96,62,neutral,10,frame_0020.png,64
22,20205,96,57,neutral,11,frame_0022.png,59
24,20207,96,52,neutral,12,frame_0024.png,54
26,20209,96,48,neutral,13,frame_0026.png,49
28,20211,96,48,neutral,14,frame_0028.png,48
30,20213,96,48,neutral,15,frame_0030.png,48
32,20215,96,48,neutral,16,frame_0032.png,48
34,20217,96,48,neutral,17,frame_0034.png,48
36,20219,96,48,neutral,18,frame_0036.png,48
38,20221,96,48,neutral,19,frame_0038.png,48
40,20223,96,48,neutral,20,frame_0040.png,48
42,20225,96,48,neutral,21,frame_0042.png,48
44,20227,96,48,neutral,22,frame_0044.png,48
46,20229,96,48,neutral,23,frame_0046.png,48
48,20231,96,48,neutral,24,frame_0048.png,48
50,20233,96,48,neutral,25,frame_0050.png,48
52,20235,96,48,neutral,26,frame_0052.png,48
54,20237,96,48,neutral,27,frame_0054.png,48
56,20239,96,48,neutral,28,frame_0056.png,48
58,20241,96,48,neutral,29,frame_0058.png,48
60,20243,96,48,neutral,30,frame_0060.png,48
62,20245,96,48,neutral,31,frame_0062.png,48
64,20247,96,48,neutral,32,frame_0064.png,48
66,20249,96,48,neutral,33,frame_0066.png,48
68,20251,96,48,neutral,34,frame_0068.png,48
70,20253,96,48,neutral,35,frame_0070.png,48
72,20255,96,48,neutral,36,frame_0072.png,48
74,20257,96,48,neutral,37,frame_0074.png,48
76,20259,96,48,neutral,38,frame_0076.png,48
78,20261,96,48,neutral,39,frame_0078.png,48
80,20263,96,48,neutral,40,frame_0080.png,48
82,20265,96,48,neutral,41,frame_0082.png,48
84,20267,96,48,neutral,42,frame_0084.png,48
86,20269,96,48,neutral,43,frame_0086.png,48
88,20271,96,48,neutral,44,frame_0088.png,48
90,20273,96,48,neutral,45,frame_0090.png,48
92,20275,96,48,neutral,46,frame_0092.png,48
94,20277,96,48,neutral,47,frame_0094.png,48
96,20279,96,48,neutral,48,frame_0096.png,48
98,20281,96,48,neutral,49,frame_0098.png,48
100,20283,96,48,neutral,50,frame_0100.png,48
102,20285,96,48,neutral,51,frame_0102.png,48
104,20287,96,48,neutral,52,frame_0104.png,48
106,20289,96,48,neutral,53,frame_0106.png,48
108,20291,96,48,neutral,54,frame_0108.png,48
110,20293,96,48,neutral,55,frame_0110.png,48
112,20295,96,48,neutral,56,frame_0112.png,48
114,20297,96,48,neutral,57,frame_0114.png,48
116,20299,96,48,neutral,58,frame_0116.png,48
118,20301,96,48,neutral,59,frame_0118.png,48
120,20303,96,48,neutral,60,frame_0120.png,48
122,20305,96,48,neutral,61,frame_0122.png,48
124,20307,96,48,neutral,62,frame_0124.png,48
126,20309,96,48,neutral,63,frame_0126.png,48
128,20311,96,48,neutral,64,frame_0128.png,48
130,20313,96,48,neutral,65,frame_0130.png,48
132,20315,96,48,neutral,66,frame_0132.png,48
134,20317,96,48,neutral,67,frame_0134.png,48
136,20319,96,48,neutral,68,frame_0136.png,48
138,20321,96,48,neutral,69,frame_0138.png,48
140,20323,96,48,neutral,70,frame_0140.png,48
142,20325,96,48,neutral,71,frame_0142.png,48
144,20327,96,48,neutral,72,frame_0144.png,48
146,20329,96,48,neutral,73,frame_0146.png,48
148,20331,96,48,neutral,74,frame_0148.png,48
150,20333,96,48,neutral,75,frame_0150.png,48
