sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot,legacy_y_scratch
0,20183,96,112,neutral,0,frame_0000.png,112
2,20185,96,112,neutral,1,frame_0002.png,112
4,20187,96,112,neutral,2,frame_0004.png,112
6,20189,96,112,neutral,3,frame_0006.png,112
8,20191,96,112,neutral,4,frame_0008.png,112
10,20193,96,112,neutral,5,frame_0010.png,112
12,20195,96,112,neutral,6,frame_0012.png,112
14,20197,96,112,neutral,7,frame_0014.png,112
16,20199,96,112,neutral,8,frame_0016.png,112
18,20201,96,112,neutral,9,frame_0018.png,112
20,20203,96,112,neutral,10,frame_0020.png,112
22,20205,96,112,neutral,11,frame_0022.png,112
24,20207,96,112,neutral,12,frame_0024.png,112
26,20209,96,112,neutral,13,frame_0026.png,112
28,20211,96,112,neutral,14,frame_0028.png,112
30,20213,96,112,neutral,15,frame_0030.png,112
32,20215,96,112,neutral,16,frame_0032.png,112
34,20217,96,112,neutral,17,frame_0034.png,112
36,20219,96,112,neutral,18,frame_0036.png,112
38,20221,96,112,neutral,19,frame_0038.png,112
40,20223,96,112,neutral,20,frame_0040.png,112
42,20225,96,112,neutral,21,frame_0042.png,112
44,20227,96,112,neutral,22,frame_0044.png,112
46,20229,96,112,neutral,23,frame_0046.png,112
48,20231,96,112,neutral,24,frame_0048.png,112
50,20233,96,112,neutral,25,frame_0050.png,112
52,20235,96,112,neutral,26,frame_0052.png,112
54,20237,96,112,neutral,27,frame_0054.png,112
56,20239,96,112,neutral,28,frame_0056.png,112
58,20241,96,112,neutral,29,frame_0058.png,112
60,20243,96,112,neutral,30,frame_0060.png,112
590,20773,96,112,neutral,31,frame_0590.png,224
592,20775,96,112,neutral,32,frame_0592.png,112
594,20777,96,112,neutral,33,frame_0594.png,112
596,20779,96,112,neutral,34,frame_0596.png,112
598,20781,96,112,neutral,35,frame_0598.png,112
600,20783,96,112,neutral,36,frame_0600.png,112
602,20785,91,112,neutral,37,frame_0602.png,112
604,20787,86,112,neutral,38,frame_0604.png,112
606,20789,81,112,neutral,39,frame_0606.png,222
608,20791,76,112,neutral,40,frame_0608.png,112
610,20793,71,112,neutral,41,frame_0610.png,112
612,20795,66,112,neutral,42,frame_0612.png,112
614,20797,61,112,neutral,43,frame_0614.png,112
616,20799,56,112,neutral,44,frame_0616.png,112
618,20801,51,112,neutral,45,frame_0618.png,112
620,20803,46,112,neutral,46,frame_0620.png,112
622,20805,46,112,neutral,47,frame_0622.png,4
624,20807,46,112,neutral,48,frame_0624.png,112
626,20809,46,112,neutral,49,frame_0626.png,112
628,20811,46,112,neutral,50,frame_0628.png,112
630,20813,46,112,neutral,51,frame_0630.png,112
632,20815,46,112,neutral,52,frame_0632.png,112
634,20817,46,112,neutral,53,frame_0634.png,112
636,20819,46,112,neutral,54,frame_0636.png,112
638,20821,46,112,neutral,55,frame_0638.png,228
640,20823,46,112,neutral,56,frame_0640.png,112
