"sample","emu_frame","snapshot_index","component","pixels","min_x","max_x","min_y","max_y","center_x","center_y","screenshot","interpretation"
"698","20881","105","0","8","112","114","157","161","113","159","frame_0698.png","unclassified cyan sprite pixels"
"704","20887","108","0","8","105","107","150","154","106","152","frame_0704.png","unclassified cyan sprite pixels"
"710","20893","111","0","8","98","100","143","147","99","145","frame_0710.png","unclassified cyan sprite pixels"
"716","20899","114","0","8","91","93","136","140","92","138","frame_0716.png","unclassified cyan sprite pixels"
"722","20905","117","0","8","84","86","129","133","85","131","frame_0722.png","unclassified cyan sprite pixels"
"728","20911","120","0","8","78","80","123","127","79","125","frame_0728.png","unclassified cyan sprite pixels"
"734","20917","123","0","8","71","73","116","120","72","118","frame_0734.png","unclassified cyan sprite pixels"
"740","20923","126","0","8","64","66","109","113","65","111","frame_0740.png","unclassified cyan sprite pixels"
"746","20929","129","0","8","57","59","102","106","58","104","frame_0746.png","unclassified cyan sprite pixels"
"746","20929","129","1","8","127","129","157","161","128","159","frame_0746.png","unclassified cyan sprite pixels"
"752","20935","132","0","8","50","52","95","99","51","97","frame_0752.png","unclassified cyan sprite pixels"
"752","20935","132","1","8","120","122","150","154","121","152","frame_0752.png","unclassified cyan sprite pixels"
"758","20941","135","0","8","43","45","88","92","44","90","frame_0758.png","unclassified cyan sprite pixels"
"758","20941","135","1","8","113","115","143","147","114","145","frame_0758.png","unclassified cyan sprite pixels"
"764","20947","138","0","8","36","38","81","85","37","83","frame_0764.png","unclassified cyan sprite pixels"
"764","20947","138","1","8","106","108","136","140","107","138","frame_0764.png","unclassified cyan sprite pixels"
"770","20953","141","0","8","29","31","74","78","30","76","frame_0770.png","unclassified cyan sprite pixels"
"770","20953","141","1","8","99","101","129","133","100","131","frame_0770.png","unclassified cyan sprite pixels"
"776","20959","144","0","8","22","24","67","71","23","69","frame_0776.png","unclassified cyan sprite pixels"
"776","20959","144","1","8","93","95","123","127","94","125","frame_0776.png","unclassified cyan sprite pixels"
"782","20965","147","0","8","16","18","61","65","17","63","frame_0782.png","unclassified cyan sprite pixels"
"782","20965","147","1","8","86","88","116","120","87","118","frame_0782.png","unclassified cyan sprite pixels"
"788","20971","150","0","8","9","11","54","58","10","56","frame_0788.png","unclassified cyan sprite pixels"
"794","20977","153","0","8","2","4","47","51","3","49","frame_0794.png","unclassified cyan sprite pixels"
