sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot,legacy_y_scratch
0,20183,96,112,pulse6,0,frame_0000.png,112
2,20185,96,112,pulse6,1,frame_0002.png,112
4,20187,96,112,pulse6,2,frame_0004.png,112
6,20189,96,112,pulse6,3,frame_0006.png,112
8,20191,96,112,pulse6,4,frame_0008.png,112
10,20193,96,112,pulse6,5,frame_0010.png,112
12,20195,96,112,pulse6,6,frame_0012.png,112
14,20197,96,112,pulse6,7,frame_0014.png,112
16,20199,96,112,pulse6,8,frame_0016.png,112
18,20201,96,112,pulse6,9,frame_0018.png,112
20,20203,96,112,pulse6,10,frame_0020.png,112
22,20205,96,112,pulse6,11,frame_0022.png,112
24,20207,96,112,pulse6,12,frame_0024.png,112
26,20209,96,112,pulse6,13,frame_0026.png,112
28,20211,96,112,pulse6,14,frame_0028.png,112
30,20213,96,112,pulse6,15,frame_0030.png,112
32,20215,96,112,pulse6,16,frame_0032.png,112
34,20217,96,112,pulse6,17,frame_0034.png,112
36,20219,96,112,pulse6,18,frame_0036.png,112
38,20221,96,112,pulse6,19,frame_0038.png,112
40,20223,96,112,pulse6,20,frame_0040.png,112
42,20225,96,112,pulse6,21,frame_0042.png,112
44,20227,96,112,pulse6,22,frame_0044.png,112
46,20229,96,112,pulse6,23,frame_0046.png,112
48,20231,96,112,pulse6,24,frame_0048.png,112
50,20233,96,112,pulse6,25,frame_0050.png,112
52,20235,96,112,pulse6,26,frame_0052.png,112
54,20237,96,112,pulse6,27,frame_0054.png,112
56,20239,96,112,pulse6,28,frame_0056.png,112
58,20241,96,112,pulse6,29,frame_0058.png,112
60,20243,96,112,pulse6,30,frame_0060.png,112
550,20733,96,112,pulse6,31,frame_0550.png,112
552,20735,96,112,pulse6,32,frame_0552.png,112
554,20737,96,112,pulse6,33,frame_0554.png,112
556,20739,96,112,pulse6,34,frame_0556.png,112
558,20741,96,112,pulse6,35,frame_0558.png,112
560,20743,96,112,pulse6,36,frame_0560.png,112
562,20745,96,112,pulse6,37,frame_0562.png,112
564,20747,96,112,pulse6,38,frame_0564.png,112
566,20749,96,112,pulse6,39,frame_0566.png,112
568,20751,96,112,pulse6,40,frame_0568.png,112
570,20753,96,112,pulse6,41,frame_0570.png,112
572,20755,96,112,pulse6,42,frame_0572.png,112
574,20757,96,112,pulse6,43,frame_0574.png,112
576,20759,96,112,pulse6,44,frame_0576.png,112
578,20761,96,112,pulse6,45,frame_0578.png,112
580,20763,96,112,pulse6,46,frame_0580.png,112
582,20765,96,112,pulse6,47,frame_0582.png,112
584,20767,96,112,pulse6,48,frame_0584.png,112
586,20769,96,112,pulse6,49,frame_0586.png,112
588,20771,96,112,pulse6,50,frame_0588.png,112
590,20773,96,112,pulse6,51,frame_0590.png,224
592,20775,96,112,pulse6,52,frame_0592.png,112
594,20777,96,112,pulse6,53,frame_0594.png,112
596,20779,96,112,pulse6,54,frame_0596.png,112
598,20781,96,112,pulse6,55,frame_0598.png,112
600,20783,96,112,pulse6,56,frame_0600.png,112
602,20785,96,112,pulse6,57,frame_0602.png,112
604,20787,96,112,pulse6,58,frame_0604.png,112
606,20789,96,112,pulse6,59,frame_0606.png,192
608,20791,96,112,pulse6,60,frame_0608.png,112
610,20793,96,112,pulse6,61,frame_0610.png,112
612,20795,96,112,pulse6,62,frame_0612.png,112
614,20797,96,112,pulse6,63,frame_0614.png,112
616,20799,96,112,pulse6,64,frame_0616.png,112
618,20801,96,112,pulse6,65,frame_0618.png,112
620,20803,96,112,pulse6,66,frame_0620.png,112
622,20805,96,112,pulse6,67,frame_0622.png,224
624,20807,96,112,pulse6,68,frame_0624.png,112
626,20809,96,112,pulse6,69,frame_0626.png,112
628,20811,96,112,pulse6,70,frame_0628.png,112
630,20813,96,112,pulse6,71,frame_0630.png,112
632,20815,96,112,pulse6,72,frame_0632.png,112
