sample,emu_frame,slot,routine,flags,x,y,on_screen,screenshot
550,20733,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0550.png
550,20733,0x1080,$04:E6AF,C8,146.0,112.0,True,frame_0550.png
550,20733,0x1400,$04:FABA,C8,182.688,115.219,True,frame_0550.png
550,20733,0x16C0,$02:90F0,C8,248.0,184.0,True,frame_0550.png
550,20733,0x1700,$02:9274,E0,248.0,176.0,True,frame_0550.png
552,20735,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0552.png
552,20735,0x1080,$04:E6AF,C8,168.0,112.0,True,frame_0552.png
552,20735,0x1400,$04:FABA,C8,182.062,115.133,True,frame_0552.png
552,20735,0x16C0,$02:90F0,C8,246.0,184.0,True,frame_0552.png
552,20735,0x1700,$02:9274,E0,246.0,176.0,True,frame_0552.png
554,20737,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0554.png
554,20737,0x1080,$04:E6AF,C8,190.0,112.0,True,frame_0554.png
554,20737,0x1400,$04:FABA,C8,181.438,115.016,True,frame_0554.png
554,20737,0x16C0,$02:90F0,C8,244.0,184.0,True,frame_0554.png
554,20737,0x1700,$02:9274,E0,244.0,176.0,True,frame_0554.png
556,20739,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0556.png
556,20739,0x1080,$04:E6AF,C8,212.0,112.0,True,frame_0556.png
556,20739,0x1400,$04:FABA,C8,180.812,114.867,True,frame_0556.png
556,20739,0x16C0,$02:90F0,C8,242.0,184.0,True,frame_0556.png
556,20739,0x1700,$02:9274,E0,242.0,176.0,True,frame_0556.png
558,20741,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0558.png
558,20741,0x1080,$04:E6AF,C8,234.0,112.0,True,frame_0558.png
558,20741,0x10C0,$04:E6AF,C8,102.0,112.0,True,frame_0558.png
558,20741,0x1400,$04:FABA,C8,180.188,114.688,True,frame_0558.png
558,20741,0x16C0,$02:90F0,C8,240.0,184.0,True,frame_0558.png
558,20741,0x1700,$02:9274,E0,240.0,176.0,True,frame_0558.png
558,20741,0x1740,$02:90F0,C8,272.0,196.0,False,frame_0558.png
558,20741,0x1780,$02:9274,E0,272.0,188.0,False,frame_0558.png
560,20743,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0560.png
560,20743,0x10C0,$04:E6AF,C8,124.0,112.0,True,frame_0560.png
560,20743,0x1400,$04:FABA,C8,179.562,114.477,True,frame_0560.png
560,20743,0x16C0,$02:90F0,C8,238.0,184.0,True,frame_0560.png
560,20743,0x1700,$02:9274,E0,238.0,176.0,True,frame_0560.png
560,20743,0x1740,$02:90F0,C8,270.0,196.0,False,frame_0560.png
560,20743,0x1780,$02:9274,E0,270.0,188.0,False,frame_0560.png
562,20745,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0562.png
562,20745,0x10C0,$04:E6AF,C8,146.0,112.0,True,frame_0562.png
562,20745,0x1400,$04:FABA,C8,178.938,114.234,True,frame_0562.png
562,20745,0x16C0,$02:90F0,C8,236.0,184.0,True,frame_0562.png
562,20745,0x1700,$02:9274,E0,236.0,176.0,True,frame_0562.png
562,20745,0x1740,$02:90F0,C8,268.0,196.0,False,frame_0562.png
562,20745,0x1780,$02:9274,E0,268.0,188.0,False,frame_0562.png
564,20747,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0564.png
564,20747,0x10C0,$04:E6AF,C8,168.0,112.0,True,frame_0564.png
564,20747,0x1400,$04:FABA,C8,178.312,113.961,True,frame_0564.png
564,20747,0x16C0,$02:90F0,C8,234.0,184.0,True,frame_0564.png
564,20747,0x1700,$02:9274,E0,234.0,176.0,True,frame_0564.png
564,20747,0x1740,$02:90F0,C8,266.0,196.0,False,frame_0564.png
564,20747,0x1780,$02:9274,E0,266.0,188.0,False,frame_0564.png
566,20749,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0566.png
566,20749,0x10C0,$04:E6AF,C8,190.0,112.0,True,frame_0566.png
566,20749,0x1400,$04:FABA,C8,177.688,113.656,True,frame_0566.png
566,20749,0x16C0,$02:90F0,C8,232.0,184.0,True,frame_0566.png
566,20749,0x1700,$02:9274,E0,232.0,176.0,True,frame_0566.png
566,20749,0x1740,$02:90F0,C8,264.0,196.0,False,frame_0566.png
566,20749,0x1780,$02:9274,E0,264.0,188.0,False,frame_0566.png
568,20751,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0568.png
568,20751,0x10C0,$04:E6AF,C8,212.0,112.0,True,frame_0568.png
568,20751,0x1400,$04:FABA,C8,177.062,113.32,True,frame_0568.png
568,20751,0x16C0,$02:90F0,C8,230.0,184.0,True,frame_0568.png
568,20751,0x1700,$02:9274,E0,230.0,176.0,True,frame_0568.png
568,20751,0x1740,$02:90F0,C8,262.0,196.0,False,frame_0568.png
568,20751,0x1780,$02:9274,E0,262.0,188.0,False,frame_0568.png
570,20753,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0570.png
570,20753,0x1080,$04:E6AF,C8,102.0,112.0,True,frame_0570.png
570,20753,0x10C0,$04:E6AF,C8,234.0,112.0,True,frame_0570.png
570,20753,0x1400,$04:FABA,C8,176.438,112.953,True,frame_0570.png
570,20753,0x16C0,$02:90F0,C8,228.0,184.0,True,frame_0570.png
570,20753,0x1700,$02:9274,E0,228.0,176.0,True,frame_0570.png
570,20753,0x1740,$02:90F0,C8,260.0,196.0,False,frame_0570.png
570,20753,0x1780,$02:9274,E0,260.0,188.0,False,frame_0570.png
572,20755,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0572.png
572,20755,0x1080,$04:E6AF,C8,124.0,112.0,True,frame_0572.png
572,20755,0x1400,$04:FABA,C8,175.812,112.555,True,frame_0572.png
572,20755,0x16C0,$02:90F0,C8,226.0,184.0,True,frame_0572.png
572,20755,0x1700,$02:9274,E0,226.0,176.0,True,frame_0572.png
572,20755,0x1740,$02:90F0,C8,258.0,196.0,False,frame_0572.png
572,20755,0x1780,$02:9274,E0,258.0,188.0,False,frame_0572.png
574,20757,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0574.png
574,20757,0x1080,$04:E6AF,C8,146.0,112.0,True,frame_0574.png
