sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot,legacy_y_scratch
0,20183,96,112,pulse8,0,frame_0000.png,112
2,20185,96,112,pulse8,1,frame_0002.png,112
4,20187,96,112,pulse8,2,frame_0004.png,112
6,20189,96,112,pulse8,3,frame_0006.png,112
8,20191,96,112,pulse8,4,frame_0008.png,112
10,20193,96,112,pulse8,5,frame_0010.png,112
12,20195,96,112,pulse8,6,frame_0012.png,112
14,20197,96,112,pulse8,7,frame_0014.png,112
16,20199,96,112,pulse8,8,frame_0016.png,112
18,20201,96,112,pulse8,9,frame_0018.png,112
20,20203,96,112,pulse8,10,frame_0020.png,112
22,20205,96,112,pulse8,11,frame_0022.png,112
24,20207,96,112,pulse8,12,frame_0024.png,112
26,20209,96,112,pulse8,13,frame_0026.png,112
28,20211,96,112,pulse8,14,frame_0028.png,112
30,20213,96,112,pulse8,15,frame_0030.png,112
32,20215,96,112,pulse8,16,frame_0032.png,112
34,20217,96,112,pulse8,17,frame_0034.png,112
36,20219,96,112,pulse8,18,frame_0036.png,112
38,20221,96,112,pulse8,19,frame_0038.png,112
40,20223,96,112,pulse8,20,frame_0040.png,112
42,20225,96,112,pulse8,21,frame_0042.png,112
44,20227,96,112,pulse8,22,frame_0044.png,112
46,20229,96,112,pulse8,23,frame_0046.png,112
48,20231,96,112,pulse8,24,frame_0048.png,112
50,20233,96,112,pulse8,25,frame_0050.png,112
52,20235,96,112,pulse8,26,frame_0052.png,112
54,20237,96,112,pulse8,27,frame_0054.png,112
56,20239,96,112,pulse8,28,frame_0056.png,112
58,20241,96,112,pulse8,29,frame_0058.png,112
60,20243,96,112,pulse8,30,frame_0060.png,112
480,20663,96,112,pulse8,31,frame_0480.png,112
482,20665,96,112,pulse8,32,frame_0482.png,112
484,20667,96,112,pulse8,33,frame_0484.png,112
486,20669,96,112,pulse8,34,frame_0486.png,112
488,20671,96,112,pulse8,35,frame_0488.png,112
490,20673,96,112,pulse8,36,frame_0490.png,112
492,20675,96,112,pulse8,37,frame_0492.png,112
494,20677,96,112,pulse8,38,frame_0494.png,112
496,20679,96,112,pulse8,39,frame_0496.png,112
498,20681,91,112,pulse8,40,frame_0498.png,112
500,20683,86,112,pulse8,41,frame_0500.png,112
502,20685,81,112,pulse8,42,frame_0502.png,112
504,20687,76,112,pulse8,43,frame_0504.png,112
506,20689,71,112,pulse8,44,frame_0506.png,112
508,20691,66,112,pulse8,45,frame_0508.png,112
510,20693,61,112,pulse8,46,frame_0510.png,112
512,20695,56,112,pulse8,47,frame_0512.png,112
514,20697,51,112,pulse8,48,frame_0514.png,112
516,20699,46,112,pulse8,49,frame_0516.png,112
518,20701,41,112,pulse8,50,frame_0518.png,112
520,20703,36,112,pulse8,51,frame_0520.png,112
522,20705,31,112,pulse8,52,frame_0522.png,112
524,20707,26,112,pulse8,53,frame_0524.png,112
526,20709,21,112,pulse8,54,frame_0526.png,112
528,20711,16,112,pulse8,55,frame_0528.png,112
530,20713,16,112,pulse8,56,frame_0530.png,112
532,20715,16,112,pulse8,57,frame_0532.png,112
534,20717,16,112,pulse8,58,frame_0534.png,112
536,20719,16,112,pulse8,59,frame_0536.png,112
538,20721,16,112,pulse8,60,frame_0538.png,112
540,20723,16,112,pulse8,61,frame_0540.png,112
542,20725,16,112,pulse8,62,frame_0542.png,112
544,20727,16,112,pulse8,63,frame_0544.png,112
546,20729,16,112,pulse8,64,frame_0546.png,112
548,20731,16,112,pulse8,65,frame_0548.png,112
550,20733,15,112,pulse8,66,frame_0550.png,112
552,20735,14,112,pulse8,67,frame_0552.png,112
554,20737,14,112,pulse8,68,frame_0554.png,112
556,20739,18,112,pulse8,69,frame_0556.png,112
558,20741,23,112,pulse8,70,frame_0558.png,112
560,20743,26,112,pulse8,71,frame_0560.png,112
562,20745,29,113,pulse8,72,frame_0562.png,112
564,20747,31,113,pulse8,73,frame_0564.png,110
566,20749,33,113,pulse8,74,frame_0566.png,110
568,20751,34,114,pulse8,75,frame_0568.png,110
570,20753,35,114,pulse8,76,frame_0570.png,110
