"sample","emu_frame","snapshot_index","component","pixels","min_x","max_x","min_y","max_y","center_x","center_y","screenshot","interpretation"
"480","20663","31","0","10","197","206","83","85","201.5","84","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","1","2","207","208","85","85","207.5","85","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","2","4","210","211","85","87","210.5","86","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","3","2","203","204","90","90","203.5","90","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","4","15","81","88","105","109","84.5","107","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","5","2","91","92","109","110","91.5","109.5","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","6","3","95","97","109","109","96","109","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","7","7","101","105","110","111","103","110.5","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","8","3","83","85","114","114","84","114","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","9","10","156","165","144","146","160.5","145","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","10","2","166","167","146","146","166.5","146","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","11","4","169","170","146","148","169.5","147","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","12","2","162","163","151","151","162.5","151","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","13","10","116","125","171","173","120.5","172","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","14","10","77","86","172","174","81.5","173","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","15","2","126","127","173","173","126.5","173","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","16","4","129","130","173","175","129.5","174","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","17","2","87","88","174","174","87.5","174","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","18","4","90","91","174","176","90.5","175","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","19","2","122","123","178","178","122.5","178","frame_0480.png","unclassified orange sprite pixels"
"480","20663","31","20","2","83","84","179","179","83.5","179","frame_0480.png","unclassified orange sprite pixels"
