sample,source_frame,result_frame,requested_mask,poll_mask,input_polls,speed_percent,lagged
1,20183,20184,0,0,4,50,false
2,20184,20185,0,0,4,50,false
3,20185,20186,0,0,4,50,false
4,20186,20187,0,0,4,50,false
5,20187,20188,0,0,4,50,false
6,20188,20189,128,128,4,50,false
7,20189,20190,0,0,4,50,false
8,20190,20191,0,0,4,50,false
9,20191,20192,0,0,4,50,false
10,20192,20193,0,0,4,50,false
11,20193,20194,0,0,4,50,false
12,20194,20195,128,128,4,50,false
13,20195,20196,0,0,4,50,false
14,20196,20197,0,0,4,50,false
15,20197,20198,0,0,4,50,false
16,20198,20199,0,0,4,50,false
17,20199,20200,0,0,4,50,false
18,20200,20201,128,128,4,50,false
19,20201,20202,0,0,4,50,false
20,20202,20203,0,0,4,50,false
