sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot,legacy_y_scratch
0,20183,96,112,replay,0,frame_0000.png,112
2,20185,96,112,replay,1,frame_0002.png,112
4,20187,96,112,replay,2,frame_0004.png,112
6,20189,96,112,replay,3,frame_0006.png,112
8,20191,96,112,replay,4,frame_0008.png,112
10,20193,96,112,replay,5,frame_0010.png,112
12,20195,96,112,replay,6,frame_0012.png,112
14,20197,96,112,replay,7,frame_0014.png,112
16,20199,96,112,replay,8,frame_0016.png,112
18,20201,96,112,replay,9,frame_0018.png,112
20,20203,96,112,replay,10,frame_0020.png,112
22,20205,96,112,replay,11,frame_0022.png,112
24,20207,96,112,replay,12,frame_0024.png,112
26,20209,96,112,replay,13,frame_0026.png,112
28,20211,96,112,replay,14,frame_0028.png,112
30,20213,96,112,replay,15,frame_0030.png,112
32,20215,96,112,replay,16,frame_0032.png,112
34,20217,96,112,replay,17,frame_0034.png,112
36,20219,96,112,replay,18,frame_0036.png,112
38,20221,96,112,replay,19,frame_0038.png,112
40,20223,96,112,replay,20,frame_0040.png,112
42,20225,96,112,replay,21,frame_0042.png,112
44,20227,96,112,replay,22,frame_0044.png,112
46,20229,96,112,replay,23,frame_0046.png,112
48,20231,96,112,replay,24,frame_0048.png,112
50,20233,96,112,replay,25,frame_0050.png,112
52,20235,96,112,replay,26,frame_0052.png,112
54,20237,96,112,replay,27,frame_0054.png,112
56,20239,96,112,replay,28,frame_0056.png,112
58,20241,96,112,replay,29,frame_0058.png,112
60,20243,96,112,replay,30,frame_0060.png,112
480,20663,96,112,replay,31,frame_0480.png,112
482,20665,91,112,replay,32,frame_0482.png,112
484,20667,86,112,replay,33,frame_0484.png,112
486,20669,81,112,replay,34,frame_0486.png,112
488,20671,76,112,replay,35,frame_0488.png,112
490,20673,71,112,replay,36,frame_0490.png,112
492,20675,66,112,replay,37,frame_0492.png,112
494,20677,61,112,replay,38,frame_0494.png,112
496,20679,56,112,replay,39,frame_0496.png,112
498,20681,51,112,replay,40,frame_0498.png,112
500,20683,46,112,replay,41,frame_0500.png,112
502,20685,41,112,replay,42,frame_0502.png,112
504,20687,36,112,replay,43,frame_0504.png,112
506,20689,31,112,replay,44,frame_0506.png,112
508,20691,26,112,replay,45,frame_0508.png,112
510,20693,21,112,replay,46,frame_0510.png,112
512,20695,21,112,replay,47,frame_0512.png,112
514,20697,21,112,replay,48,frame_0514.png,112
516,20699,21,112,replay,49,frame_0516.png,112
518,20701,21,112,replay,50,frame_0518.png,112
520,20703,21,112,replay,51,frame_0520.png,112
522,20705,21,112,replay,52,frame_0522.png,112
524,20707,21,112,replay,53,frame_0524.png,112
526,20709,21,112,replay,54,frame_0526.png,112
528,20711,21,112,replay,55,frame_0528.png,112
530,20713,21,112,replay,56,frame_0530.png,112
532,20715,21,112,replay,57,frame_0532.png,112
534,20717,21,112,replay,58,frame_0534.png,112
536,20719,21,112,replay,59,frame_0536.png,112
538,20721,21,112,replay,60,frame_0538.png,112
540,20723,21,112,replay,61,frame_0540.png,112
542,20725,21,112,replay,62,frame_0542.png,112
544,20727,21,112,replay,63,frame_0544.png,112
546,20729,21,112,replay,64,frame_0546.png,112
548,20731,21,112,replay,65,frame_0548.png,112
550,20733,21,112,replay,66,frame_0550.png,112
552,20735,21,112,replay,67,frame_0552.png,112
554,20737,21,112,replay,68,frame_0554.png,112
556,20739,21,112,replay,69,frame_0556.png,112
558,20741,21,112,replay,70,frame_0558.png,112
560,20743,21,112,replay,71,frame_0560.png,112
562,20745,21,112,replay,72,frame_0562.png,112
564,20747,21,112,replay,73,frame_0564.png,112
566,20749,21,112,replay,74,frame_0566.png,112
568,20751,21,112,replay,75,frame_0568.png,112
570,20753,21,112,replay,76,frame_0570.png,112
572,20755,21,112,replay,77,frame_0572.png,112
574,20757,21,112,replay,78,frame_0574.png,112
576,20759,21,112,replay,79,frame_0576.png,112
578,20761,21,112,replay,80,frame_0578.png,112
580,20763,21,112,replay,81,frame_0580.png,112
582,20765,21,112,replay,82,frame_0582.png,112
584,20767,21,112,replay,83,frame_0584.png,112
586,20769,21,112,replay,84,frame_0586.png,112
588,20771,21,112,replay,85,frame_0588.png,112
590,20773,21,112,replay,86,frame_0590.png,118
592,20775,21,112,replay,87,frame_0592.png,112
594,20777,21,112,replay,88,frame_0594.png,112
596,20779,21,112,replay,89,frame_0596.png,112
598,20781,21,112,replay,90,frame_0598.png,112
600,20783,21,112,replay,91,frame_0600.png,112
602,20785,21,112,replay,92,frame_0602.png,112
604,20787,21,112,replay,93,frame_0604.png,112
606,20789,21,112,replay,94,frame_0606.png,86
608,20791,21,112,replay,95,frame_0608.png,112
610,20793,21,112,replay,96,frame_0610.png,112
612,20795,21,112,replay,97,frame_0612.png,112
614,20797,21,112,replay,98,frame_0614.png,112
616,20799,21,112,replay,99,frame_0616.png,112
618,20801,21,112,replay,100,frame_0618.png,112
620,20803,21,112,replay,101,frame_0620.png,112
622,20805,21,112,replay,102,frame_0622.png,118
624,20807,21,112,replay,103,frame_0624.png,112
626,20809,21,112,replay,104,frame_0626.png,112
628,20811,21,112,replay,105,frame_0628.png,112
630,20813,21,112,replay,106,frame_0630.png,112
632,20815,21,112,replay,107,frame_0632.png,112
634,20817,21,112,replay,108,frame_0634.png,112
636,20819,21,112,replay,109,frame_0636.png,112
638,20821,21,112,replay,110,frame_0638.png,86
640,20823,21,112,replay,111,frame_0640.png,112
