sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot,legacy_y_scratch
0,20183,96,112,replay,0,frame_0000.png,112
2,20185,96,112,replay,1,frame_0002.png,112
4,20187,96,112,replay,2,frame_0004.png,112
6,20189,96,112,replay,3,frame_0006.png,112
8,20191,96,112,replay,4,frame_0008.png,112
10,20193,96,112,replay,5,frame_0010.png,112
12,20195,96,112,replay,6,frame_0012.png,112
14,20197,96,112,replay,7,frame_0014.png,112
16,20199,96,112,replay,8,frame_0016.png,112
18,20201,96,112,replay,9,frame_0018.png,112
20,20203,96,112,replay,10,frame_0020.png,112
22,20205,96,112,replay,11,frame_0022.png,112
24,20207,96,112,replay,12,frame_0024.png,112
26,20209,96,112,replay,13,frame_0026.png,112
28,20211,96,112,replay,14,frame_0028.png,112
30,20213,96,112,replay,15,frame_0030.png,112
32,20215,96,112,replay,16,frame_0032.png,112
34,20217,96,112,replay,17,frame_0034.png,112
36,20219,96,112,replay,18,frame_0036.png,112
38,20221,96,112,replay,19,frame_0038.png,112
40,20223,96,112,replay,20,frame_0040.png,112
42,20225,96,112,replay,21,frame_0042.png,112
44,20227,96,112,replay,22,frame_0044.png,112
46,20229,96,112,replay,23,frame_0046.png,112
48,20231,96,112,replay,24,frame_0048.png,112
50,20233,96,112,replay,25,frame_0050.png,112
52,20235,96,112,replay,26,frame_0052.png,112
54,20237,96,112,replay,27,frame_0054.png,112
56,20239,96,112,replay,28,frame_0056.png,112
58,20241,96,112,replay,29,frame_0058.png,112
60,20243,96,112,replay,30,frame_0060.png,112
1150,21333,201,67,replay,31,frame_1150.png,67
1152,21335,201,67,replay,32,frame_1152.png,178
1154,21337,201,72,replay,33,frame_1154.png,208
1156,21339,201,77,replay,34,frame_1156.png,74
1158,21341,201,82,replay,35,frame_1158.png,79
1160,21343,196,82,replay,36,frame_1160.png,82
1162,21345,191,82,replay,37,frame_1162.png,148
1164,21347,186,82,replay,38,frame_1164.png,82
1166,21349,181,82,replay,39,frame_1166.png,82
1168,21351,176,82,replay,40,frame_1168.png,82
1170,21353,171,82,replay,41,frame_1170.png,188
1172,21355,166,82,replay,42,frame_1172.png,162
1174,21357,161,82,replay,43,frame_1174.png,82
1176,21359,156,82,replay,44,frame_1176.png,82
1178,21361,151,82,replay,45,frame_1178.png,82
1180,21363,146,82,replay,46,frame_1180.png,82
1182,21365,141,82,replay,47,frame_1182.png,202
1184,21367,136,82,replay,48,frame_1184.png,82
1186,21369,131,82,replay,49,frame_1186.png,188
1188,21371,126,82,replay,50,frame_1188.png,82
1190,21373,121,82,replay,51,frame_1190.png,82
1192,21375,116,82,replay,52,frame_1192.png,242
1194,21377,111,82,replay,53,frame_1194.png,82
1196,21379,111,87,replay,54,frame_1196.png,84
1198,21381,111,92,replay,55,frame_1198.png,89
1200,21383,111,97,replay,56,frame_1200.png,94
1202,21385,106,97,replay,57,frame_1202.png,252
1204,21387,101,97,replay,58,frame_1204.png,97
1206,21389,96,97,replay,59,frame_1206.png,97
1208,21391,96,92,replay,60,frame_1208.png,94
1210,21393,96,87,replay,61,frame_1210.png,89
1212,21395,96,82,replay,62,frame_1212.png,6
1214,21397,96,77,replay,63,frame_1214.png,79
1216,21399,96,72,replay,64,frame_1216.png,74
1218,21401,96,67,replay,65,frame_1218.png,218
1220,21403,96,72,replay,66,frame_1220.png,69
1222,21405,96,77,replay,67,frame_1222.png,252
1224,21407,96,82,replay,68,frame_1224.png,79
1226,21409,96,87,replay,69,frame_1226.png,84
1228,21411,96,92,replay,70,frame_1228.png,89
1230,21413,96,97,replay,71,frame_1230.png,94
1232,21415,91,97,replay,72,frame_1232.png,252
1234,21417,86,97,replay,73,frame_1234.png,158
1236,21419,81,97,replay,74,frame_1236.png,97
1238,21421,81,102,replay,75,frame_1238.png,99
1240,21423,81,107,replay,76,frame_1240.png,104
1242,21425,81,112,replay,77,frame_1242.png,6
1244,21427,81,117,replay,78,frame_1244.png,114
1246,21429,81,122,replay,79,frame_1246.png,119
1248,21431,81,127,replay,80,frame_1248.png,124
1250,21433,81,132,replay,81,frame_1250.png,92
1252,21435,81,137,replay,82,frame_1252.png,252
1254,21437,81,142,replay,83,frame_1254.png,139
1256,21439,81,147,replay,84,frame_1256.png,144
1258,21441,81,152,replay,85,frame_1258.png,149
1260,21443,81,157,replay,86,frame_1260.png,154
1262,21445,76,157,replay,87,frame_1262.png,252
1264,21447,71,157,replay,88,frame_1264.png,157
1266,21449,66,157,replay,89,frame_1266.png,132
1268,21451,61,157,replay,90,frame_1268.png,157
1270,21453,56,157,replay,91,frame_1270.png,157
1272,21455,51,157,replay,92,frame_1272.png,36
1274,21457,46,157,replay,93,frame_1274.png,157
1276,21459,41,157,replay,94,frame_1276.png,157
1278,21461,36,157,replay,95,frame_1278.png,157
1280,21463,36,152,replay,96,frame_1280.png,154
1282,21465,36,147,replay,97,frame_1282.png,56
1284,21467,36,142,replay,98,frame_1284.png,144
1286,21469,36,147,replay,99,frame_1286.png,144
1288,21471,36,152,replay,100,frame_1288.png,149
1290,21473,36,157,replay,101,frame_1290.png,154
1292,21475,41,157,replay,102,frame_1292.png,76
1294,21477,46,157,replay,103,frame_1294.png,157
1296,21479,51,157,replay,104,frame_1296.png,157
1298,21481,46,157,replay,105,frame_1298.png,192
1300,21483,41,157,replay,106,frame_1300.png,157
1302,21485,36,157,replay,107,frame_1302.png,76
1304,21487,36,152,replay,108,frame_1304.png,154
