sample,emu_frame,slot,routine,flags,x,y,on_screen,screenshot
1150,21333,0x1000,$04:DF96,C8,201.5,67.0,True,frame_1150.png
1150,21333,0x16C0,$02:9166,C8,96.188,184.0,True,frame_1150.png
1150,21333,0x1740,$02:9274,E0,96.0,176.0,True,frame_1150.png
1150,21333,0x1780,$02:B04A,C8,228.875,104.0,True,frame_1150.png
1150,21333,0x17C0,$04:FCC0,D0,222.672,66.754,True,frame_1150.png
1150,21333,0x1800,$02:93CD,D0,258.0,156.0,False,frame_1150.png
1150,21333,0x1840,$04:FCC0,D0,239.656,64.0,True,frame_1150.png
1150,21333,0x1AC0,$04:F97F,CC,177.43,75.57,True,frame_1150.png
1152,21335,0x1000,$04:DF96,C8,201.5,67.0,True,frame_1152.png
1152,21335,0x16C0,$02:9166,C8,96.812,184.0,True,frame_1152.png
1152,21335,0x1740,$02:9274,E0,96.0,176.0,True,frame_1152.png
1152,21335,0x1780,$02:B04A,C8,225.281,104.0,True,frame_1152.png
1152,21335,0x17C0,$04:FCC0,D0,221.672,66.754,True,frame_1152.png
1152,21335,0x1800,$02:93CD,D0,257.0,156.0,False,frame_1152.png
1152,21335,0x1840,$04:FCC0,D0,238.656,64.0,True,frame_1152.png
1152,21335,0x1AC0,$04:F97F,CC,179.727,73.273,True,frame_1152.png
1154,21337,0x1000,$04:DF96,C8,201.5,72.0,True,frame_1154.png
1154,21337,0x16C0,$02:9166,C8,97.438,184.0,True,frame_1154.png
1154,21337,0x1740,$02:9274,E0,97.0,176.0,True,frame_1154.png
1154,21337,0x1780,$02:B04A,C8,221.688,104.0,True,frame_1154.png
1154,21337,0x17C0,$04:FCC0,D0,220.672,66.754,True,frame_1154.png
1154,21337,0x1800,$02:93CD,D0,256.0,156.0,False,frame_1154.png
1154,21337,0x1840,$04:FCC0,D0,237.656,64.0,True,frame_1154.png
1154,21337,0x1AC0,$04:F97F,CC,182.023,70.977,True,frame_1154.png
1156,21339,0x1000,$04:DF96,C8,201.5,77.0,True,frame_1156.png
1156,21339,0x1080,$04:E6AF,C8,207.0,77.0,True,frame_1156.png
1156,21339,0x16C0,$02:9166,C8,98.062,184.0,True,frame_1156.png
1156,21339,0x1740,$02:9274,E0,98.0,176.0,True,frame_1156.png
1156,21339,0x1780,$02:B04A,C8,218.094,104.0,True,frame_1156.png
1156,21339,0x17C0,$04:FCC0,D0,219.672,66.754,True,frame_1156.png
1156,21339,0x1800,$02:93CD,D0,255.0,156.0,True,frame_1156.png
1156,21339,0x1840,$04:FCC0,D0,236.656,64.0,True,frame_1156.png
1156,21339,0x1AC0,$04:F97F,CC,184.32,68.68,True,frame_1156.png
1158,21341,0x1000,$04:DF96,C8,201.5,82.0,True,frame_1158.png
1158,21341,0x1080,$04:E6AF,C8,229.0,77.0,True,frame_1158.png
1158,21341,0x16C0,$02:9166,C8,98.688,184.0,True,frame_1158.png
1158,21341,0x1740,$02:9274,E0,98.0,176.0,True,frame_1158.png
1158,21341,0x1780,$02:B04A,C8,214.5,104.0,True,frame_1158.png
1158,21341,0x17C0,$04:FCC0,D0,218.672,66.754,True,frame_1158.png
1158,21341,0x1800,$02:93CD,D0,254.0,156.0,True,frame_1158.png
1158,21341,0x1840,$04:FCC0,D0,235.656,64.0,True,frame_1158.png
1158,21341,0x1AC0,$04:F97F,CC,186.617,66.383,True,frame_1158.png
1160,21343,0x1000,$04:DF96,C8,196.5,82.0,True,frame_1160.png
1160,21343,0x1080,$04:E6AF,C8,251.0,77.0,True,frame_1160.png
1160,21343,0x16C0,$02:9166,C8,99.312,184.0,True,frame_1160.png
1160,21343,0x1740,$02:9274,E0,99.0,176.0,True,frame_1160.png
1160,21343,0x1780,$02:B04A,C8,210.906,104.0,True,frame_1160.png
1160,21343,0x1800,$02:93CD,D0,253.0,156.0,True,frame_1160.png
1160,21343,0x1840,$04:FCC0,D0,234.656,64.0,True,frame_1160.png
1160,21343,0x1AC0,$04:F97F,CC,188.914,64.086,True,frame_1160.png
1162,21345,0x1000,$04:DF96,C8,191.5,82.0,True,frame_1162.png
1162,21345,0x16C0,$02:9166,C8,99.938,184.0,True,frame_1162.png
1162,21345,0x1700,$02:93CD,D0,272.0,156.0,False,frame_1162.png
1162,21345,0x1740,$02:9274,E0,99.0,176.0,True,frame_1162.png
1162,21345,0x1780,$02:B04A,C8,207.312,104.0,True,frame_1162.png
1162,21345,0x1800,$02:93DD,D8,252.0,156.0,True,frame_1162.png
1162,21345,0x1840,$04:FCC0,D0,233.656,64.0,True,frame_1162.png
1162,21345,0x1AC0,$04:F97F,CC,191.211,61.789,True,frame_1162.png
1164,21347,0x1000,$04:DF96,C8,186.5,82.0,True,frame_1164.png
1164,21347,0x16C0,$02:9166,C8,100.562,184.0,True,frame_1164.png
1164,21347,0x1700,$02:93CD,D0,271.0,156.0,False,frame_1164.png
1164,21347,0x1740,$02:9274,E0,100.0,176.0,True,frame_1164.png
1164,21347,0x1780,$02:B04A,C8,203.719,104.0,True,frame_1164.png
1164,21347,0x1800,$02:93DD,D8,251.0,156.0,True,frame_1164.png
1164,21347,0x1840,$04:FCC0,D0,232.656,64.0,True,frame_1164.png
1164,21347,0x1AC0,$04:F97F,CC,193.508,59.492,True,frame_1164.png
1166,21349,0x1000,$04:DF96,C8,181.5,82.0,True,frame_1166.png
1166,21349,0x16C0,$02:9166,C8,101.188,184.0,True,frame_1166.png
1166,21349,0x1700,$02:93CD,D0,270.0,156.0,False,frame_1166.png
1166,21349,0x1740,$02:9274,E0,101.0,176.0,True,frame_1166.png
1166,21349,0x1780,$02:B04A,C8,200.125,104.0,True,frame_1166.png
1166,21349,0x1800,$02:93DD,D8,250.0,156.0,True,frame_1166.png
1166,21349,0x1840,$04:FCC0,D0,231.656,64.0,True,frame_1166.png
1166,21349,0x1AC0,$04:F97F,CC,195.805,57.195,True,frame_1166.png
1168,21351,0x1000,$04:DF96,C8,176.5,82.0,True,frame_1168.png
1168,21351,0x16C0,$02:9166,C8,101.812,184.0,True,frame_1168.png
1168,21351,0x1700,$02:93CD,D0,269.0,156.0,False,frame_1168.png
1168,21351,0x1740,$02:9274,E0,101.0,176.0,True,frame_1168.png
1168,21351,0x1780,$02:B04A,C8,196.531,104.0,True,frame_1168.png
1168,21351,0x1800,$02:93DD,D8,249.0,156.0,True,frame_1168.png
1168,21351,0x1840,$04:FCC0,D0,230.656,64.0,True,frame_1168.png
1168,21351,0x1AC0,$04:F97F,CC,198.102,54.898,True,frame_1168.png
1170,21353,0x1000,$04:DF96,C8,171.5,82.0,True,frame_1170.png
1170,21353,0x1080,$04:E6AF,C8,177.0,82.0,True,frame_1170.png
1170,21353,0x16C0,$02:9166,C8,102.438,184.0,True,frame_1170.png
1170,21353,0x1700,$02:93CD,D0,268.0,156.0,False,frame_1170.png
1170,21353,0x1740,$02:9274,E0,102.0,176.0,True,frame_1170.png
1170,21353,0x1780,$02:B04A,C8,192.938,104.0,True,frame_1170.png
1170,21353,0x17C0,$02:A78D,9A,248.672,80.754,True,frame_1170.png
1170,21353,0x1800,$02:93DD,D8,248.0,156.0,True,frame_1170.png
1170,21353,0x1840,$04:FCC0,D0,229.656,64.0,True,frame_1170.png
1170,21353,0x1AC0,$04:F97F,CC,200.398,52.602,True,frame_1170.png
1172,21355,0x1000,$04:DF96,C8,166.5,82.0,True,frame_1172.png
1172,21355,0x1080,$04:E6AF,C8,199.0,82.0,True,frame_1172.png
1172,21355,0x16C0,$02:9166,C8,103.062,184.0,True,frame_1172.png
1172,21355,0x1700,$02:93CD,D0,267.0,156.0,False,frame_1172.png
1172,21355,0x1740,$02:9274,E0,103.0,176.0,True,frame_1172.png
1172,21355,0x1780,$02:B04A,C8,189.344,104.0,True,frame_1172.png
1172,21355,0x17C0,$02:A78D,9A,247.672,80.754,True,frame_1172.png
1172,21355,0x1800,$02:93DD,D8,247.0,156.0,True,frame_1172.png
1172,21355,0x1840,$04:FCC0,D0,228.656,64.0,True,frame_1172.png
1172,21355,0x1AC0,$04:F97F,CC,202.695,50.305,True,frame_1172.png
1174,21357,0x1000,$04:DF96,C8,161.5,82.0,True,frame_1174.png
1174,21357,0x1080,$04:E6AF,C8,221.0,82.0,True,frame_1174.png
1174,21357,0x16C0,$02:9166,C8,103.688,184.0,True,frame_1174.png
1174,21357,0x1700,$02:93CD,D0,266.0,156.0,False,frame_1174.png
1174,21357,0x1740,$02:9274,E0,103.0,176.0,True,frame_1174.png
1174,21357,0x1780,$02:B04A,C8,185.75,104.0,True,frame_1174.png
1174,21357,0x17C0,$02:A78D,9A,246.672,80.754,True,frame_1174.png
1174,21357,0x1800,$02:93DD,D8,246.0,156.0,True,frame_1174.png
1174,21357,0x1840,$04:FCC0,D0,227.656,64.0,True,frame_1174.png
1174,21357,0x1AC0,$04:F97F,CC,204.992,48.008,True,frame_1174.png
1176,21359,0x1000,$04:DF96,C8,156.5,82.0,True,frame_1176.png
1176,21359,0x1080,$04:E6E1,C0,232.0,82.0,True,frame_1176.png
1176,21359,0x16C0,$02:9166,C8,104.312,184.0,True,frame_1176.png
1176,21359,0x1700,$02:93CD,D0,265.0,156.0,False,frame_1176.png
1176,21359,0x1740,$02:9274,E0,104.0,176.0,True,frame_1176.png
