sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot,legacy_y_scratch
0,20183,96,112,replay,0,frame_0000.png,112
2,20185,96,112,replay,1,frame_0002.png,112
4,20187,96,112,replay,2,frame_0004.png,112
6,20189,96,112,replay,3,frame_0006.png,112
8,20191,96,112,replay,4,frame_0008.png,112
10,20193,96,112,replay,5,frame_0010.png,112
12,20195,96,112,replay,6,frame_0012.png,112
14,20197,96,112,replay,7,frame_0014.png,112
16,20199,96,112,replay,8,frame_0016.png,112
18,20201,96,112,replay,9,frame_0018.png,112
20,20203,96,112,replay,10,frame_0020.png,112
22,20205,96,112,replay,11,frame_0022.png,112
24,20207,96,112,replay,12,frame_0024.png,112
26,20209,96,112,replay,13,frame_0026.png,112
28,20211,96,112,replay,14,frame_0028.png,112
30,20213,96,112,replay,15,frame_0030.png,112
32,20215,96,112,replay,16,frame_0032.png,112
34,20217,96,112,replay,17,frame_0034.png,112
36,20219,96,112,replay,18,frame_0036.png,112
38,20221,96,112,replay,19,frame_0038.png,112
40,20223,96,112,replay,20,frame_0040.png,112
42,20225,96,112,replay,21,frame_0042.png,112
44,20227,96,112,replay,22,frame_0044.png,112
46,20229,96,112,replay,23,frame_0046.png,112
48,20231,96,112,replay,24,frame_0048.png,112
50,20233,96,112,replay,25,frame_0050.png,112
52,20235,96,112,replay,26,frame_0052.png,112
54,20237,96,112,replay,27,frame_0054.png,112
56,20239,96,112,replay,28,frame_0056.png,112
58,20241,96,112,replay,29,frame_0058.png,112
60,20243,96,112,replay,30,frame_0060.png,112
1440,21623,36,191,replay,31,frame_1440.png,191
1442,21625,36,191,replay,32,frame_1442.png,191
1444,21627,36,191,replay,33,frame_1444.png,191
1446,21629,36,191,replay,34,frame_1446.png,191
1448,21631,36,191,replay,35,frame_1448.png,106
1450,21633,36,191,replay,36,frame_1450.png,191
1452,21635,36,191,replay,37,frame_1452.png,191
1454,21637,41,191,replay,38,frame_1454.png,191
1456,21639,46,191,replay,39,frame_1456.png,191
1458,21641,51,191,replay,40,frame_1458.png,66
1460,21643,56,191,replay,41,frame_1460.png,191
1462,21645,61,191,replay,42,frame_1462.png,191
1464,21647,66,191,replay,43,frame_1464.png,191
1466,21649,71,191,replay,44,frame_1466.png,191
1468,21651,76,191,replay,45,frame_1468.png,6
1470,21653,80,191,replay,46,frame_1470.png,191
1472,21655,79,191,replay,47,frame_1472.png,191
1474,21657,78,191,replay,48,frame_1474.png,191
1476,21659,77,191,replay,49,frame_1476.png,191
1478,21661,76,191,replay,50,frame_1478.png,252
1480,21663,75,191,replay,51,frame_1480.png,191
1482,21665,74,191,replay,52,frame_1482.png,191
1484,21667,73,191,replay,53,frame_1484.png,191
1486,21669,72,191,replay,54,frame_1486.png,191
1488,21671,71,191,replay,55,frame_1488.png,252
1490,21673,70,191,replay,56,frame_1490.png,191
1492,21675,69,191,replay,57,frame_1492.png,191
1494,21677,68,191,replay,58,frame_1494.png,191
1496,21679,67,191,replay,59,frame_1496.png,191
1498,21681,66,191,replay,60,frame_1498.png,252
1500,21683,65,191,replay,61,frame_1500.png,191
1502,21685,64,191,replay,62,frame_1502.png,191
1504,21687,63,191,replay,63,frame_1504.png,191
1506,21689,62,191,replay,64,frame_1506.png,191
1508,21691,61,191,replay,65,frame_1508.png,252
1510,21693,60,191,replay,66,frame_1510.png,191
1512,21695,59,191,replay,67,frame_1512.png,191
1514,21697,58,191,replay,68,frame_1514.png,191
1516,21699,57,191,replay,69,frame_1516.png,191
1518,21701,56,191,replay,70,frame_1518.png,252
1520,21703,55,191,replay,71,frame_1520.png,191
1522,21705,54,191,replay,72,frame_1522.png,191
1524,21707,53,191,replay,73,frame_1524.png,191
1526,21709,52,191,replay,74,frame_1526.png,191
1528,21711,51,191,replay,75,frame_1528.png,252
1530,21713,50,191,replay,76,frame_1530.png,191
1532,21715,49,191,replay,77,frame_1532.png,191
1534,21717,48,191,replay,78,frame_1534.png,191
1536,21719,47,191,replay,79,frame_1536.png,191
1538,21721,46,191,replay,80,frame_1538.png,252
1540,21723,45,191,replay,81,frame_1540.png,191
1542,21725,44,191,replay,82,frame_1542.png,191
1544,21727,43,191,replay,83,frame_1544.png,191
1546,21729,42,191,replay,84,frame_1546.png,191
1548,21731,41,191,replay,85,frame_1548.png,252
1550,21733,40,191,replay,86,frame_1550.png,191
1552,21735,39,191,replay,87,frame_1552.png,191
1554,21737,38,191,replay,88,frame_1554.png,191
1556,21739,37,191,replay,89,frame_1556.png,191
1558,21741,36,191,replay,90,frame_1558.png,252
1560,21743,35,191,replay,91,frame_1560.png,191
1562,21745,34,191,replay,92,frame_1562.png,191
1564,21747,33,191,replay,93,frame_1564.png,191
1566,21749,32,191,replay,94,frame_1566.png,191
1568,21751,31,186,replay,95,frame_1568.png,252
1570,21753,30,181,replay,96,frame_1570.png,183
1572,21755,29,176,replay,97,frame_1572.png,178
1574,21757,28,181,replay,98,frame_1574.png,178
1576,21759,27,186,replay,99,frame_1576.png,183
1578,21761,26,191,replay,100,frame_1578.png,252
1580,21763,25,186,replay,101,frame_1580.png,188
1582,21765,24,181,replay,102,frame_1582.png,183
1584,21767,23,176,replay,103,frame_1584.png,178
1586,21769,22,176,replay,104,frame_1586.png,176
1588,21771,21,176,replay,105,frame_1588.png,252
1590,21773,20,176,replay,106,frame_1590.png,176
1592,21775,19,181,replay,107,frame_1592.png,178
1594,21777,18,186,replay,108,frame_1594.png,183
