status,x_address,y_address,score,samples
UNVERIFIED,0x1757,0x1758,32419.23,90
UNVERIFIED,0x1717,0x1718,32405.25,90
UNVERIFIED,0x1797,0x1798,32154.03,90
UNVERIFIED,0x16D7,0x16D8,30792.9,90
UNVERIFIED,0x171A,0x171B,28806.14,90
UNVERIFIED,0x175A,0x175B,26022.51,90
UNVERIFIED,0x1718,0x1719,23976.3,90
UNVERIFIED,0x1758,0x1759,23340.31,90
UNVERIFIED,0x1798,0x1799,22844.39,90
UNVERIFIED,0x1719,0x171A,22084.22,90
UNVERIFIED,0x179A,0x179B,21617.57,90
UNVERIFIED,0x16D8,0x16D9,21377.82,90
UNVERIFIED,0x1716,0x1717,20610.0,90
UNVERIFIED,0x1756,0x1757,20276.78,90
UNVERIFIED,0x1759,0x175A,20061.43,90
UNVERIFIED,0x1796,0x1797,18631.58,90
UNVERIFIED,0x1799,0x179A,17504.69,90
UNVERIFIED,0x16D6,0x16D7,17286.51,90
UNVERIFIED,0x16DA,0x16DB,17065.85,90
UNVERIFIED,0x0BE6,0x0BE7,15794.94,90
