frame,0x002C,0x0098,0x009B,0x009D,0x00FA,0x00FB,0x0629,0x062B,0x0901,0x0905,0x100D,0x1014,0x1024,
20037,206,0,0,0,0,0,0,0,143,143,0,203,36,
20038,206,0,0,0,0,0,0,0,143,143,0,203,36,
20039,206,0,0,0,0,0,0,0,143,143,0,203,36,
20040,206,0,0,0,0,0,0,0,143,143,0,203,36,
20041,206,0,0,0,0,0,0,0,143,143,0,203,36,
20042,206,0,0,0,0,0,0,0,143,143,0,203,36,
20043,206,0,0,0,0,0,0,0,143,143,0,203,36,
20044,206,0,0,0,0,0,0,0,143,143,0,203,36,
20045,206,0,0,0,0,0,0,0,143,143,0,203,36,
20046,206,0,0,0,0,0,0,0,143,143,0,203,36,
20047,206,0,0,0,0,0,0,0,143,143,0,203,36,
20048,206,0,0,0,0,0,0,0,143,143,0,203,36,
20049,206,0,0,0,0,0,0,0,143,143,0,203,36,
20050,206,0,0,0,0,0,0,0,143,143,0,203,36,
20051,206,0,0,0,0,0,0,0,143,143,0,203,36,
20052,206,0,0,0,0,0,0,0,143,143,0,203,36,
20053,206,0,0,0,0,0,0,0,143,143,0,203,36,
20054,206,0,0,0,0,0,0,0,143,143,0,203,36,
20055,206,0,0,0,0,0,0,0,143,143,0,203,36,
20056,206,0,0,0,0,0,0,0,143,143,0,203,36,
20057,206,0,0,0,0,0,0,0,143,143,0,203,36,
20058,206,0,0,0,0,0,0,0,143,143,0,203,36,
20059,206,0,0,0,0,0,0,0,143,143,0,203,36,
20060,206,0,0,0,0,0,0,0,143,143,0,203,36,
20061,206,0,0,0,0,0,0,0,143,143,0,203,36,
20062,206,0,0,0,0,0,0,0,143,143,0,203,36,
20063,206,0,0,0,0,0,0,0,143,143,0,203,36,
20064,206,0,0,0,0,0,0,0,224,224,0,0,0,
20065,206,0,0,0,0,0,0,0,224,224,0,0,0,
20066,206,0,0,0,0,0,0,0,224,224,0,0,0,
20067,206,0,0,0,0,0,0,0,224,224,0,0,0,
20068,206,0,0,0,0,0,0,0,224,224,0,0,0,
20069,206,0,0,0,0,0,0,0,224,224,0,0,0,
20070,206,0,0,0,0,0,0,0,224,224,0,0,0,
20071,206,0,0,0,0,0,0,0,224,224,0,0,0,
20072,206,0,0,0,0,0,0,0,224,224,0,0,0,
20073,206,0,0,0,0,0,0,0,224,224,0,0,0,
20074,206,0,0,0,0,0,0,0,224,224,0,0,0,
20075,206,0,0,0,0,0,0,0,224,224,0,0,0,
20076,206,0,0,0,0,0,0,0,224,224,0,0,0,
20077,206,0,0,0,0,0,0,0,224,224,0,0,0,
20078,206,0,0,0,0,0,0,0,224,224,0,0,0,
20079,206,0,0,0,0,0,0,0,224,224,0,0,0,
20080,206,0,0,0,0,0,0,0,224,224,0,0,0,
20081,206,0,0,0,0,0,0,0,224,224,0,0,0,
20082,206,0,0,0,0,0,0,0,224,224,0,0,0,
20083,206,0,0,0,0,0,0,0,224,224,0,0,0,
20084,206,0,0,0,0,0,0,0,224,224,0,0,0,
20085,206,0,0,0,0,0,0,0,224,224,0,0,0,
20086,206,0,0,0,0,0,0,0,224,224,0,0,0,
20087,206,0,0,0,0,0,0,0,224,224,0,0,0,
20088,206,0,0,0,0,0,0,0,224,224,0,0,0,
20089,206,0,0,0,0,0,0,0,224,224,0,0,0,
20090,206,0,0,0,0,0,0,0,224,224,0,0,0,
20091,206,0,0,0,0,0,0,0,224,224,0,0,0,
20092,206,0,0,0,0,0,0,0,224,224,0,0,0,
20093,206,0,0,0,0,0,0,0,224,224,0,0,0,
20094,206,0,0,0,0,0,0,0,224,224,0,0,0,
20095,206,0,0,0,0,0,0,0,224,224,0,0,0,
20096,206,0,0,0,0,0,0,0,224,224,0,0,0,
20097,206,0,0,0,0,0,0,0,224,224,0,0,0,
20098,206,0,0,0,0,0,0,0,224,224,0,0,0,
20099,206,0,0,0,0,0,0,0,224,224,0,0,0,
20100,206,0,0,0,0,0,0,0,224,224,0,0,0,
20101,206,0,0,0,0,0,0,0,224,224,0,112,64,
20102,206,0,0,0,0,0,0,0,224,224,0,112,64,
20103,206,0,0,0,0,0,0,0,224,224,0,112,64,
20104,206,0,0,0,0,0,0,0,224,224,0,112,64,
20105,206,0,0,0,0,0,0,0,104,104,0,112,64,
20106,206,0,0,0,0,0,0,0,104,104,0,112,64,
20107,206,0,0,0,0,0,0,0,224,224,0,112,64,
20108,206,0,0,0,0,0,0,0,224,224,0,112,64,
20109,206,0,0,0,0,0,0,0,104,104,0,112,64,
20110,206,0,0,0,0,0,0,0,104,104,0,112,64,
20111,206,0,0,0,0,0,0,0,224,224,0,112,64,
20112,206,0,0,0,0,0,0,0,224,224,0,112,64,
20113,206,0,0,0,0,0,0,0,104,104,0,112,64,
20114,206,0,0,0,0,0,0,0,104,104,0,112,64,
20115,206,0,0,0,0,0,0,0,224,224,0,112,64,
20116,206,0,0,0,0,0,0,0,224,224,0,112,64,
