address,base,neutral,up,down,left,right
0x0068,51216,58896,64016,3600,8720,13840
0x0069,200,230,250,14,34,54
0x00CE,48651,21605,47265,7389,33050,58710
0x0501,22155,24199,22161,22163,24203,24003
0x0507,17793,18305,17537,18817,19329,18049
0x050E,35457,36481,1153,37505,38529,1665
0x050F,22154,22158,21508,22162,22166,21510
0x051C,17537,35969,18561,18561,38017,19585
0x051D,21828,22156,21832,21832,22164,21836
0x0603,0,24342,0,0,55564,8968
0x0604,0,4191,0,0,20697,2083
0x0606,0,4107,0,0,4506,2099
0x060D,0,24336,0,0,55568,0
0x060E,0,53343,0,0,53465,0
0x1021,15872,15872,16640,15104,15872,15872
0x1022,1854,1854,1857,1851,1854,1854
0x1023,16391,16391,17159,15623,16391,16391
0x1024,1856,1856,1859,1853,1856,1856
0x1038,512,512,0,1024,512,512
0x1039,514,514,0,1028,514,514
0x103A,2,2,0,4,2,2
candidates=21
