address,base,up,down,left,right
0x0021,28672,12288,48384,28672,28672
0x0022,112,48,189,112,112
0x0023,36864,40960,36864,16384,59392
0x0024,144,160,144,64,232
0x0025,28672,12288,47104,28672,28672
0x0026,112,48,184,112,112
0x002B,28672,12288,47104,28672,28672
0x002C,112,48,184,112,112
0x08FF,24578,24578,24578,6658,42498
0x0900,57440,57440,57440,57370,57510
0x0903,20512,20512,20512,2592,38432
0x0904,57424,57424,57424,57354,57494
0x1010,24704,24704,24704,5504,43904
0x1011,96,96,96,21,171
0x1013,28672,12288,47872,28672,28672
0x1014,112,48,187,112,112
0x1021,15872,16640,15104,15872,15872
0x1022,1854,1857,1851,1854,1854
0x1023,16391,17159,15623,16391,16391
0x1024,1856,1859,1853,1856,1856
0x1038,512,0,1024,512,512
0x1039,514,0,1028,514,514
0x103A,2,0,4,2,2
candidates=23
