sample,source_frame,result_frame,requested_mask,poll_mask,input_polls,speed_percent,lagged
1,20183,20184,0,0,4,50,false
2,20184,20185,0,0,4,50,false
3,20185,20186,0,0,4,50,false
4,20186,20187,0,0,4,50,false
5,20187,20188,0,0,4,50,false
6,20188,20189,0,0,4,50,false
7,20189,20190,0,0,4,50,false
8,20190,20191,0,0,4,50,false
9,20191,20192,0,0,4,50,false
10,20192,20193,0,0,4,50,false
11,20193,20194,0,0,4,50,false
12,20194,20195,0,0,4,50,false
13,20195,20196,0,0,4,50,false
14,20196,20197,0,0,4,50,false
15,20197,20198,0,0,4,50,false
16,20198,20199,0,0,4,50,false
17,20199,20200,0,0,4,50,false
18,20200,20201,0,0,4,50,false
19,20201,20202,0,0,4,50,false
20,20202,20203,0,0,4,50,false
21,20203,20204,0,0,4,50,false
22,20204,20205,0,0,4,50,false
23,20205,20206,0,0,4,50,false
24,20206,20207,0,0,4,50,false
25,20207,20208,0,0,4,50,false
26,20208,20209,0,0,4,50,false
27,20209,20210,0,0,4,50,false
28,20210,20211,0,0,4,50,false
29,20211,20212,0,0,4,50,false
30,20212,20213,0,0,4,50,false
31,20213,20214,0,0,4,50,false
32,20214,20215,0,0,4,50,false
33,20215,20216,0,0,4,50,false
34,20216,20217,0,0,4,50,false
35,20217,20218,0,0,4,50,false
36,20218,20219,0,0,4,50,false
37,20219,20220,0,0,4,50,false
38,20220,20221,0,0,4,50,false
39,20221,20222,0,0,4,50,false
40,20222,20223,0,0,4,50,false
41,20223,20224,0,0,4,50,false
42,20224,20225,0,0,4,50,false
43,20225,20226,0,0,4,50,false
44,20226,20227,0,0,4,50,false
45,20227,20228,0,0,4,50,false
46,20228,20229,0,0,4,50,false
47,20229,20230,0,0,4,50,false
48,20230,20231,0,0,4,50,false
49,20231,20232,0,0,4,50,false
50,20232,20233,0,0,4,50,false
51,20233,20234,0,0,4,50,false
52,20234,20235,0,0,4,50,false
53,20235,20236,0,0,4,50,false
54,20236,20237,0,0,4,50,false
55,20237,20238,0,0,4,50,false
56,20238,20239,0,0,4,50,false
57,20239,20240,0,0,4,50,false
58,20240,20241,0,0,4,50,false
59,20241,20242,0,0,4,50,false
60,20242,20243,0,0,4,50,false
