"sample","emu_frame","snapshot_index","component","pixels","min_x","max_x","min_y","max_y","center_x","center_y","screenshot","interpretation"
"500","20683","31","0","2","106","107","110","110","106.5","110","frame_0500.png","unclassified cyan sprite pixels"
"500","20683","31","1","2","45","46","170","171","45.5","170.5","frame_0500.png","unclassified cyan sprite pixels"
"502","20685","32","0","2","106","107","110","110","106.5","110","frame_0502.png","unclassified cyan sprite pixels"
"502","20685","32","1","2","42","43","169","170","42.5","169.5","frame_0502.png","unclassified cyan sprite pixels"
"504","20687","33","0","2","106","107","110","110","106.5","110","frame_0504.png","unclassified cyan sprite pixels"
"504","20687","33","1","8","201","203","125","129","202","127","frame_0504.png","unclassified cyan sprite pixels"
"504","20687","33","2","2","39","40","168","169","39.5","168.5","frame_0504.png","unclassified cyan sprite pixels"
"506","20689","34","0","2","37","38","167","168","37.5","167.5","frame_0506.png","unclassified cyan sprite pixels"
"508","20691","35","0","2","35","36","166","167","35.5","166.5","frame_0508.png","unclassified cyan sprite pixels"
"510","20693","36","0","2","106","107","110","110","106.5","110","frame_0510.png","unclassified cyan sprite pixels"
"510","20693","36","1","8","210","212","127","131","211","129","frame_0510.png","unclassified cyan sprite pixels"
"510","20693","36","2","2","33","34","165","166","33.5","165.5","frame_0510.png","unclassified cyan sprite pixels"
"510","20693","36","3","2","63","64","175","176","63.5","175.5","frame_0510.png","unclassified cyan sprite pixels"
"512","20695","37","0","2","106","107","110","110","106.5","110","frame_0512.png","unclassified cyan sprite pixels"
"512","20695","37","1","2","30","31","163","164","30.5","163.5","frame_0512.png","unclassified cyan sprite pixels"
"512","20695","37","2","2","60","61","174","175","60.5","174.5","frame_0512.png","unclassified cyan sprite pixels"
"514","20697","38","0","2","106","107","110","110","106.5","110","frame_0514.png","unclassified cyan sprite pixels"
"514","20697","38","1","2","29","30","162","163","29.5","162.5","frame_0514.png","unclassified cyan sprite pixels"
"514","20697","38","2","2","57","58","174","175","57.5","174.5","frame_0514.png","unclassified cyan sprite pixels"
"516","20699","39","0","2","106","107","110","110","106.5","110","frame_0516.png","unclassified cyan sprite pixels"
"516","20699","39","1","8","220","222","129","133","221","131","frame_0516.png","unclassified cyan sprite pixels"
"516","20699","39","2","2","27","28","160","161","27.5","160.5","frame_0516.png","unclassified cyan sprite pixels"
"516","20699","39","3","2","54","55","173","174","54.5","173.5","frame_0516.png","unclassified cyan sprite pixels"
"518","20701","40","0","2","106","107","110","110","106.5","110","frame_0518.png","unclassified cyan sprite pixels"
"518","20701","40","1","2","25","26","159","160","25.5","159.5","frame_0518.png","unclassified cyan sprite pixels"
"518","20701","40","2","2","50","51","172","173","50.5","172.5","frame_0518.png","unclassified cyan sprite pixels"
"520","20703","41","0","2","106","107","110","110","106.5","110","frame_0520.png","unclassified cyan sprite pixels"
"520","20703","41","1","2","23","24","157","158","23.5","157.5","frame_0520.png","unclassified cyan sprite pixels"
"520","20703","41","2","2","48","49","171","172","48.5","171.5","frame_0520.png","unclassified cyan sprite pixels"
"522","20705","42","0","8","229","231","131","135","230","133","frame_0522.png","unclassified cyan sprite pixels"
"522","20705","42","1","2","22","23","155","156","22.5","155.5","frame_0522.png","unclassified cyan sprite pixels"
"522","20705","42","2","2","45","46","170","171","45.5","170.5","frame_0522.png","unclassified cyan sprite pixels"
"524","20707","43","0","2","21","22","153","154","21.5","153.5","frame_0524.png","unclassified cyan sprite pixels"
"524","20707","43","1","2","42","43","169","170","42.5","169.5","frame_0524.png","unclassified cyan sprite pixels"
"526","20709","44","0","2","106","107","110","110","106.5","110","frame_0526.png","unclassified cyan sprite pixels"
"526","20709","44","1","2","20","21","151","152","20.5","151.5","frame_0526.png","unclassified cyan sprite pixels"
"526","20709","44","2","2","39","40","168","169","39.5","168.5","frame_0526.png","unclassified cyan sprite pixels"
"528","20711","45","0","2","106","107","110","110","106.5","110","frame_0528.png","unclassified cyan sprite pixels"
"528","20711","45","1","8","239","241","133","137","240","135","frame_0528.png","unclassified cyan sprite pixels"
"528","20711","45","2","2","18","19","149","150","18.5","149.5","frame_0528.png","unclassified cyan sprite pixels"
"528","20711","45","3","2","37","38","167","168","37.5","167.5","frame_0528.png","unclassified cyan sprite pixels"
"530","20713","46","0","2","106","107","110","110","106.5","110","frame_0530.png","unclassified cyan sprite pixels"
"530","20713","46","1","2","18","19","147","148","18.5","147.5","frame_0530.png","unclassified cyan sprite pixels"
"530","20713","46","2","2","35","36","166","167","35.5","166.5","frame_0530.png","unclassified cyan sprite pixels"
"532","20715","47","0","2","106","107","110","110","106.5","110","frame_0532.png","unclassified cyan sprite pixels"
"532","20715","47","1","2","17","18","145","146","17.5","145.5","frame_0532.png","unclassified cyan sprite pixels"
"532","20715","47","2","2","33","34","165","166","33.5","165.5","frame_0532.png","unclassified cyan sprite pixels"
"532","20715","47","3","2","63","64","175","176","63.5","175.5","frame_0532.png","unclassified cyan sprite pixels"
"534","20717","48","0","2","106","107","110","110","106.5","110","frame_0534.png","unclassified cyan sprite pixels"
"534","20717","48","1","8","248","250","134","138","249","136","frame_0534.png","unclassified cyan sprite pixels"
"534","20717","48","2","2","16","17","143","144","16.5","143.5","frame_0534.png","unclassified cyan sprite pixels"
"534","20717","48","3","2","30","31","163","164","30.5","163.5","frame_0534.png","unclassified cyan sprite pixels"
"534","20717","48","4","2","60","61","174","175","60.5","174.5","frame_0534.png","unclassified cyan sprite pixels"
"536","20719","49","0","2","106","107","110","110","106.5","110","frame_0536.png","unclassified cyan sprite pixels"
"536","20719","49","1","2","15","16","141","142","15.5","141.5","frame_0536.png","unclassified cyan sprite pixels"
