sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot
0,20183,96,112,neutral,0,frame_0000.png
2,20185,96,112,neutral,1,frame_0002.png
4,20187,96,112,neutral,2,frame_0004.png
6,20189,96,112,neutral,3,frame_0006.png
8,20191,96,112,neutral,4,frame_0008.png
10,20193,96,112,neutral,5,frame_0010.png
12,20195,96,112,neutral,6,frame_0012.png
14,20197,96,112,neutral,7,frame_0014.png
16,20199,96,112,neutral,8,frame_0016.png
18,20201,96,112,neutral,9,frame_0018.png
20,20203,96,112,neutral,10,frame_0020.png
22,20205,96,112,neutral,11,frame_0022.png
24,20207,96,112,neutral,12,frame_0024.png
26,20209,96,112,neutral,13,frame_0026.png
28,20211,96,112,neutral,14,frame_0028.png
30,20213,96,112,neutral,15,frame_0030.png
32,20215,96,112,neutral,16,frame_0032.png
34,20217,96,112,neutral,17,frame_0034.png
36,20219,96,112,neutral,18,frame_0036.png
38,20221,96,112,neutral,19,frame_0038.png
40,20223,96,112,neutral,20,frame_0040.png
42,20225,96,112,neutral,21,frame_0042.png
44,20227,96,112,neutral,22,frame_0044.png
46,20229,96,112,neutral,23,frame_0046.png
48,20231,96,112,neutral,24,frame_0048.png
50,20233,96,112,neutral,25,frame_0050.png
52,20235,96,112,neutral,26,frame_0052.png
54,20237,96,112,neutral,27,frame_0054.png
56,20239,96,112,neutral,28,frame_0056.png
58,20241,96,112,neutral,29,frame_0058.png
60,20243,96,112,neutral,30,frame_0060.png
500,20683,96,112,neutral,31,frame_0500.png
502,20685,96,112,neutral,32,frame_0502.png
504,20687,96,112,neutral,33,frame_0504.png
506,20689,96,112,neutral,34,frame_0506.png
508,20691,96,112,neutral,35,frame_0508.png
510,20693,96,112,neutral,36,frame_0510.png
512,20695,96,112,neutral,37,frame_0512.png
514,20697,96,112,neutral,38,frame_0514.png
516,20699,96,112,neutral,39,frame_0516.png
518,20701,96,112,neutral,40,frame_0518.png
520,20703,96,112,neutral,41,frame_0520.png
522,20705,96,112,neutral,42,frame_0522.png
524,20707,96,112,neutral,43,frame_0524.png
526,20709,96,112,neutral,44,frame_0526.png
528,20711,96,112,neutral,45,frame_0528.png
530,20713,96,112,neutral,46,frame_0530.png
532,20715,96,112,neutral,47,frame_0532.png
534,20717,96,112,neutral,48,frame_0534.png
536,20719,96,112,neutral,49,frame_0536.png
538,20721,96,112,neutral,50,frame_0538.png
540,20723,96,112,neutral,51,frame_0540.png
542,20725,96,112,neutral,52,frame_0542.png
544,20727,96,112,neutral,53,frame_0544.png
546,20729,96,112,neutral,54,frame_0546.png
548,20731,96,112,neutral,55,frame_0548.png
550,20733,96,112,neutral,56,frame_0550.png
552,20735,96,112,neutral,57,frame_0552.png
554,20737,96,112,neutral,58,frame_0554.png
556,20739,96,112,neutral,59,frame_0556.png
558,20741,96,112,neutral,60,frame_0558.png
560,20743,96,112,neutral,61,frame_0560.png
562,20745,96,112,neutral,62,frame_0562.png
564,20747,96,236,neutral,63,frame_0564.png
566,20749,96,112,neutral,64,frame_0566.png
568,20751,96,112,neutral,65,frame_0568.png
570,20753,96,112,neutral,66,frame_0570.png
572,20755,96,112,neutral,67,frame_0572.png
574,20757,96,112,neutral,68,frame_0574.png
576,20759,96,112,neutral,69,frame_0576.png
578,20761,96,112,neutral,70,frame_0578.png
580,20763,96,112,neutral,71,frame_0580.png
582,20765,96,112,neutral,72,frame_0582.png
584,20767,96,112,neutral,73,frame_0584.png
586,20769,96,112,neutral,74,frame_0586.png
588,20771,96,112,neutral,75,frame_0588.png
590,20773,96,224,neutral,76,frame_0590.png
592,20775,96,112,neutral,77,frame_0592.png
594,20777,96,112,neutral,78,frame_0594.png
596,20779,96,112,neutral,79,frame_0596.png
598,20781,96,112,neutral,80,frame_0598.png
600,20783,96,112,neutral,81,frame_0600.png
602,20785,96,112,neutral,82,frame_0602.png
604,20787,96,112,neutral,83,frame_0604.png
606,20789,96,192,neutral,84,frame_0606.png
608,20791,96,112,neutral,85,frame_0608.png
610,20793,96,112,neutral,86,frame_0610.png
612,20795,96,112,neutral,87,frame_0612.png
614,20797,96,112,neutral,88,frame_0614.png
616,20799,96,112,neutral,89,frame_0616.png
618,20801,96,112,neutral,90,frame_0618.png
620,20803,96,112,neutral,91,frame_0620.png
622,20805,96,160,neutral,92,frame_0622.png
624,20807,96,112,neutral,93,frame_0624.png
626,20809,96,112,neutral,94,frame_0626.png
628,20811,96,112,neutral,95,frame_0628.png
630,20813,96,112,neutral,96,frame_0630.png
632,20815,96,112,neutral,97,frame_0632.png
634,20817,96,112,neutral,98,frame_0634.png
636,20819,96,112,neutral,99,frame_0636.png
638,20821,96,128,neutral,100,frame_0638.png
640,20823,96,112,neutral,101,frame_0640.png
