"sample","emu_frame","snapshot_index","component","pixels","min_x","max_x","min_y","max_y","center_x","center_y","screenshot","interpretation"
"500","20683","31","0","13","109","114","70","74","111.5","72","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","1","4","117","118","72","74","117.5","73","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","2","19","120","124","73","79","122","76","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","3","8","126","128","78","80","127","79","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","4","13","139","144","84","88","141.5","86","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","5","4","147","148","86","88","147.5","87","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","6","19","150","154","87","93","152","90","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","7","8","156","158","92","94","157","93","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","8","13","173","178","93","97","175.5","95","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","9","13","210","215","93","97","212.5","95","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","10","4","181","182","95","97","181.5","96","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","11","4","218","219","95","97","218.5","96","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","12","19","184","188","96","102","186","99","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","13","19","221","225","96","102","223","99","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","14","8","190","192","101","103","191","102","frame_0500.png","unclassified green sprite pixels"
"500","20683","31","15","8","227","229","101","103","228","102","frame_0500.png","unclassified green sprite pixels"
"502","20685","32","0","13","111","116","71","75","113.5","73","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","1","4","119","120","73","75","119.5","74","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","2","19","122","126","74","80","124","77","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","3","8","128","130","79","81","129","80","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","4","13","142","147","85","89","144.5","87","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","5","4","150","151","87","89","150.5","88","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","6","19","153","157","88","94","155","91","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","7","8","159","161","93","95","160","94","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","8","13","176","181","93","97","178.5","95","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","9","13","214","219","93","97","216.5","95","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","10","4","184","185","95","97","184.5","96","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","11","4","222","223","95","97","222.5","96","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","12","19","187","191","96","102","189","99","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","13","19","225","229","96","102","227","99","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","14","8","193","195","101","103","194","102","frame_0502.png","unclassified green sprite pixels"
"502","20685","32","15","8","231","233","101","103","232","102","frame_0502.png","unclassified green sprite pixels"
"504","20687","33","0","13","114","119","72","76","116.5","74","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","1","4","122","123","74","76","122.5","75","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","2","19","125","129","75","81","127","78","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","3","8","131","133","80","82","132","81","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","4","13","145","150","86","90","147.5","88","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","5","4","153","154","88","90","153.5","89","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","6","19","156","160","89","95","158","92","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","7","13","180","185","93","97","182.5","95","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","8","13","217","222","93","97","219.5","95","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","9","8","162","164","94","96","163","95","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","10","4","188","189","95","97","188.5","96","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","11","4","225","226","95","97","225.5","96","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","12","19","191","195","96","102","193","99","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","13","19","228","232","96","102","230","99","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","14","8","197","199","101","103","198","102","frame_0504.png","unclassified green sprite pixels"
"504","20687","33","15","8","234","236","101","103","235","102","frame_0504.png","unclassified green sprite pixels"
"506","20689","34","0","13","116","121","74","78","118.5","76","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","1","4","124","125","76","78","124.5","77","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","2","19","127","131","77","83","129","80","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","3","8","133","135","82","84","134","83","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","4","13","148","153","87","91","150.5","89","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","5","4","156","157","89","91","156.5","90","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","6","19","159","163","90","96","161","93","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","7","13","183","188","93","97","185.5","95","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","8","13","221","226","93","97","223.5","95","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","9","8","165","167","95","97","166","96","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","10","4","191","192","95","97","191.5","96","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","11","4","229","230","95","97","229.5","96","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","12","19","194","198","96","102","196","99","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","13","19","232","236","96","102","234","99","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","14","8","200","202","101","103","201","102","frame_0506.png","unclassified green sprite pixels"
"506","20689","34","15","8","238","240","101","103","239","102","frame_0506.png","unclassified green sprite pixels"
"508","20691","35","0","13","119","124","75","79","121.5","77","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","1","4","127","128","77","79","127.5","78","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","2","19","130","134","78","84","132","81","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","3","8","136","138","83","85","137","84","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","4","13","151","156","88","92","153.5","90","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","5","4","159","160","90","92","159.5","91","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","6","19","162","166","91","97","164","94","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","7","13","187","192","93","97","189.5","95","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","8","13","224","229","93","97","226.5","95","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","9","4","195","196","95","97","195.5","96","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","10","4","232","233","95","97","232.5","96","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","11","8","168","170","96","98","169","97","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","12","19","198","202","96","102","200","99","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","13","19","235","239","96","102","237","99","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","14","8","204","206","101","103","205","102","frame_0508.png","unclassified green sprite pixels"
"508","20691","35","15","8","241","243","101","103","242","102","frame_0508.png","unclassified green sprite pixels"
"510","20693","36","0","13","121","126","76","80","123.5","78","frame_0510.png","unclassified green sprite pixels"
"510","20693","36","1","4","129","130","78","80","129.5","79","frame_0510.png","unclassified green sprite pixels"
"510","20693","36","2","19","132","136","79","85","134","82","frame_0510.png","unclassified green sprite pixels"
"510","20693","36","3","8","138","140","84","86","139","85","frame_0510.png","unclassified green sprite pixels"
"510","20693","36","4","13","154","159","89","93","156.5","91","frame_0510.png","unclassified green sprite pixels"
"510","20693","36","5","4","162","163","91","93","162.5","92","frame_0510.png","unclassified green sprite pixels"
"510","20693","36","6","19","165","169","92","98","167","95","frame_0510.png","unclassified green sprite pixels"
