sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot
0,20183,96,112,pulse6,0,frame_0000.png
2,20185,96,114,pulse6,1,frame_0002.png
4,20187,96,119,pulse6,2,frame_0004.png
6,20189,96,124,pulse6,3,frame_0006.png
8,20191,96,129,pulse6,4,frame_0008.png
10,20193,96,134,pulse6,5,frame_0010.png
12,20195,96,139,pulse6,6,frame_0012.png
14,20197,96,144,pulse6,7,frame_0014.png
16,20199,96,149,pulse6,8,frame_0016.png
18,20201,96,154,pulse6,9,frame_0018.png
20,20203,96,159,pulse6,10,frame_0020.png
22,20205,96,162,pulse6,11,frame_0022.png
24,20207,96,162,pulse6,12,frame_0024.png
26,20209,96,162,pulse6,13,frame_0026.png
28,20211,96,162,pulse6,14,frame_0028.png
30,20213,96,162,pulse6,15,frame_0030.png
32,20215,96,162,pulse6,16,frame_0032.png
34,20217,96,162,pulse6,17,frame_0034.png
36,20219,96,162,pulse6,18,frame_0036.png
38,20221,96,162,pulse6,19,frame_0038.png
40,20223,96,162,pulse6,20,frame_0040.png
42,20225,96,162,pulse6,21,frame_0042.png
44,20227,96,162,pulse6,22,frame_0044.png
46,20229,96,162,pulse6,23,frame_0046.png
48,20231,96,162,pulse6,24,frame_0048.png
50,20233,96,162,pulse6,25,frame_0050.png
52,20235,96,162,pulse6,26,frame_0052.png
54,20237,96,162,pulse6,27,frame_0054.png
56,20239,96,162,pulse6,28,frame_0056.png
58,20241,96,162,pulse6,29,frame_0058.png
60,20243,96,162,pulse6,30,frame_0060.png
