sample,emu_frame,slot,routine,flags,x,y,on_screen,screenshot
550,20733,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0550.png
550,20733,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0550.png
550,20733,0x16C0,$02:B04A,C8,192.711,97.656,True,frame_0550.png
550,20733,0x1740,$02:B04A,C8,269.352,97.656,False,frame_0550.png
550,20733,0x1780,$02:B04A,C8,231.883,97.656,True,frame_0550.png
550,20733,0x17C0,$02:B04A,C8,85.125,175.516,True,frame_0550.png
550,20733,0x1800,$02:B04A,C8,25.727,121.809,True,frame_0550.png
550,20733,0x1840,$02:B04A,C8,32.484,148.855,True,frame_0550.png
550,20733,0x1880,$02:B04A,C8,50.359,167.117,True,frame_0550.png
550,20733,0x18C0,$02:90F0,C8,248.0,184.0,True,frame_0550.png
550,20733,0x1900,$02:9274,E0,248.0,176.0,True,frame_0550.png
550,20733,0x1B00,$04:F97F,CC,277.785,143.309,False,frame_0550.png
552,20735,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0552.png
552,20735,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0552.png
552,20735,0x16C0,$02:B04A,C8,196.117,97.656,True,frame_0552.png
552,20735,0x1780,$02:B04A,C8,235.289,97.656,True,frame_0552.png
552,20735,0x17C0,$02:B04A,C8,81.531,175.516,True,frame_0552.png
552,20735,0x1800,$02:B04A,C8,25.312,118.973,True,frame_0552.png
552,20735,0x1840,$02:B04A,C8,31.609,146.727,True,frame_0552.png
552,20735,0x1880,$02:B04A,C8,48.109,165.848,True,frame_0552.png
552,20735,0x18C0,$02:90F0,C8,246.0,184.0,True,frame_0552.png
552,20735,0x1900,$02:9274,E0,246.0,176.0,True,frame_0552.png
552,20735,0x1B00,$04:F97F,CC,280.965,143.941,False,frame_0552.png
554,20737,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0554.png
554,20737,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0554.png
554,20737,0x16C0,$02:B04A,C8,199.523,97.656,True,frame_0554.png
554,20737,0x1780,$02:B04A,C8,238.695,97.656,True,frame_0554.png
554,20737,0x17C0,$02:B04A,C8,77.969,175.281,True,frame_0554.png
554,20737,0x1800,$02:B04A,C8,24.93,116.074,True,frame_0554.png
554,20737,0x1840,$02:B04A,C8,30.859,144.52,True,frame_0554.png
554,20737,0x1880,$02:B04A,C8,45.984,164.5,True,frame_0554.png
554,20737,0x18C0,$02:90F0,C8,244.0,184.0,True,frame_0554.png
554,20737,0x1900,$02:9274,E0,244.0,176.0,True,frame_0554.png
554,20737,0x1B00,$04:F97F,CC,284.145,144.574,False,frame_0554.png
556,20739,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0556.png
556,20739,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0556.png
556,20739,0x16C0,$02:B04A,C8,202.93,97.656,True,frame_0556.png
556,20739,0x1780,$02:B04A,C8,242.102,97.656,True,frame_0556.png
556,20739,0x17C0,$02:B04A,C8,74.531,174.754,True,frame_0556.png
556,20739,0x1800,$02:B04A,C8,24.578,113.113,True,frame_0556.png
556,20739,0x1840,$02:B04A,C8,30.164,142.246,True,frame_0556.png
556,20739,0x1880,$02:B04A,C8,43.984,163.074,True,frame_0556.png
556,20739,0x18C0,$02:90F0,C8,242.0,184.0,True,frame_0556.png
556,20739,0x1900,$02:9274,E0,242.0,176.0,True,frame_0556.png
556,20739,0x1B00,$04:F97F,CC,287.324,145.207,False,frame_0556.png
558,20741,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0558.png
558,20741,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0558.png
558,20741,0x16C0,$02:B04A,C8,206.336,97.656,True,frame_0558.png
558,20741,0x1700,$02:90F0,C8,272.0,196.0,False,frame_0558.png
558,20741,0x1740,$02:9274,E0,272.0,188.0,False,frame_0558.png
558,20741,0x1780,$02:B04A,C8,245.508,97.656,True,frame_0558.png
558,20741,0x17C0,$02:B04A,C8,71.219,174.148,True,frame_0558.png
558,20741,0x1800,$02:B04A,C8,24.34,110.172,True,frame_0558.png
558,20741,0x1840,$02:B04A,C8,29.5,139.91,True,frame_0558.png
558,20741,0x1880,$02:B04A,C8,42.109,161.57,True,frame_0558.png
558,20741,0x18C0,$02:90F0,C8,240.0,184.0,True,frame_0558.png
558,20741,0x1900,$02:9274,E0,240.0,176.0,True,frame_0558.png
558,20741,0x1B00,$04:F97F,CC,290.504,145.84,False,frame_0558.png
560,20743,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0560.png
560,20743,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0560.png
560,20743,0x16C0,$02:B04A,C8,209.742,97.656,True,frame_0560.png
560,20743,0x1700,$02:90F0,C8,270.0,196.0,False,frame_0560.png
560,20743,0x1740,$02:9274,E0,270.0,188.0,False,frame_0560.png
560,20743,0x1780,$02:B04A,C8,248.914,97.656,True,frame_0560.png
