sample,source_frame,result_frame,requested_mask,poll_mask,input_polls,speed_percent,lagged
1,20183,20184,1,1,4,50,false
2,20184,20185,1,1,4,50,false
3,20185,20186,1,1,4,50,false
4,20186,20187,1,1,4,50,false
5,20187,20188,1,1,4,50,false
6,20188,20189,1,1,4,50,false
7,20189,20190,1,1,4,50,false
8,20190,20191,1,1,4,50,false
9,20191,20192,1,1,4,50,false
10,20192,20193,1,1,4,50,false
11,20193,20194,1,1,4,50,false
12,20194,20195,1,1,4,50,false
13,20195,20196,1,1,4,50,false
14,20196,20197,1,1,4,50,false
15,20197,20198,1,1,4,50,false
16,20198,20199,1,1,4,50,false
17,20199,20200,1,1,4,50,false
18,20200,20201,1,1,4,50,false
19,20201,20202,1,1,4,50,false
20,20202,20203,1,1,4,50,false
21,20203,20204,1,1,4,50,false
22,20204,20205,1,1,4,50,false
23,20205,20206,1,1,4,50,false
24,20206,20207,1,1,4,50,false
25,20207,20208,1,1,4,50,false
26,20208,20209,1,1,4,50,false
27,20209,20210,1,1,4,50,false
28,20210,20211,1,1,4,50,false
29,20211,20212,1,1,4,50,false
30,20212,20213,1,1,4,50,false
31,20213,20214,1,1,4,50,false
32,20214,20215,1,1,4,50,false
33,20215,20216,1,1,4,50,false
34,20216,20217,1,1,4,50,false
35,20217,20218,1,1,4,50,false
36,20218,20219,1,1,4,50,false
37,20219,20220,1,1,4,50,false
38,20220,20221,1,1,4,50,false
39,20221,20222,1,1,4,50,false
40,20222,20223,1,1,4,50,false
41,20223,20224,1,1,4,50,false
42,20224,20225,1,1,4,50,false
43,20225,20226,1,1,4,50,false
44,20226,20227,1,1,4,50,false
45,20227,20228,1,1,4,50,false
46,20228,20229,1,1,4,50,false
47,20229,20230,1,1,4,50,false
48,20230,20231,1,1,4,50,false
49,20231,20232,1,1,4,50,false
50,20232,20233,1,1,4,50,false
51,20233,20234,1,1,4,50,false
52,20234,20235,1,1,4,50,false
53,20235,20236,1,1,4,50,false
54,20236,20237,1,1,4,50,false
55,20237,20238,1,1,4,50,false
56,20238,20239,1,1,4,50,false
57,20239,20240,1,1,4,50,false
58,20240,20241,1,1,4,50,false
59,20241,20242,1,1,4,50,false
60,20242,20243,1,1,4,50,false
61,20243,20244,1,1,4,50,false
62,20244,20245,1,1,4,50,false
63,20245,20246,1,1,4,50,false
64,20246,20247,1,1,4,50,false
65,20247,20248,1,1,4,50,false
66,20248,20249,1,1,4,50,false
67,20249,20250,1,1,4,50,false
68,20250,20251,1,1,4,50,false
69,20251,20252,1,1,4,50,false
70,20252,20253,1,1,4,50,false
71,20253,20254,1,1,4,50,false
72,20254,20255,1,1,4,50,false
73,20255,20256,1,1,4,50,false
74,20256,20257,1,1,4,50,false
75,20257,20258,1,1,4,50,false
76,20258,20259,1,1,4,50,false
77,20259,20260,1,1,4,50,false
78,20260,20261,1,1,4,50,false
79,20261,20262,1,1,4,50,false
80,20262,20263,1,1,4,50,false
81,20263,20264,1,1,4,50,false
82,20264,20265,1,1,4,50,false
83,20265,20266,1,1,4,50,false
84,20266,20267,1,1,4,50,false
85,20267,20268,1,1,4,50,false
86,20268,20269,1,1,4,50,false
87,20269,20270,1,1,4,50,false
88,20270,20271,1,1,4,50,false
89,20271,20272,1,1,4,50,false
90,20272,20273,1,1,4,50,false
91,20273,20274,1,1,4,50,false
92,20274,20275,1,1,4,50,false
93,20275,20276,1,1,4,50,false
94,20276,20277,1,1,4,50,false
95,20277,20278,1,1,4,50,false
96,20278,20279,1,1,4,50,false
97,20279,20280,1,1,4,50,false
98,20280,20281,1,1,4,50,false
99,20281,20282,1,1,4,50,false
100,20282,20283,1,1,4,50,false
101,20283,20284,1,1,4,50,false
102,20284,20285,1,1,4,50,false
103,20285,20286,1,1,4,50,false
104,20286,20287,1,1,4,50,false
105,20287,20288,1,1,4,50,false
106,20288,20289,1,1,4,50,false
107,20289,20290,1,1,4,50,false
108,20290,20291,1,1,4,50,false
109,20291,20292,1,1,4,50,false
110,20292,20293,1,1,4,50,false
111,20293,20294,1,1,4,50,false
112,20294,20295,1,1,4,50,false
113,20295,20296,1,1,4,50,false
114,20296,20297,1,1,4,50,false
115,20297,20298,1,1,4,50,false
116,20298,20299,1,1,4,50,false
117,20299,20300,1,1,4,50,false
118,20300,20301,1,1,4,50,false
119,20301,20302,1,1,4,50,false
120,20302,20303,1,1,4,50,false
121,20303,20304,0,0,4,50,false
122,20304,20305,0,0,4,50,false
123,20305,20306,0,0,4,50,false
124,20306,20307,0,0,4,50,false
125,20307,20308,0,0,4,50,false
126,20308,20309,0,0,4,50,false
127,20309,20310,0,0,4,50,false
128,20310,20311,0,0,4,50,false
129,20311,20312,0,0,4,50,false
130,20312,20313,0,0,4,50,false
131,20313,20314,0,0,4,50,false
132,20314,20315,0,0,4,50,false
133,20315,20316,0,0,4,50,false
134,20316,20317,0,0,4,50,false
135,20317,20318,0,0,4,50,false
136,20318,20319,0,0,4,50,false
137,20319,20320,0,0,4,50,false
138,20320,20321,0,0,4,50,false
139,20321,20322,0,0,4,50,false
140,20322,20323,0,0,4,50,false
141,20323,20324,0,0,4,50,false
142,20324,20325,0,0,4,50,false
143,20325,20326,0,0,4,50,false
144,20326,20327,0,0,4,50,false
145,20327,20328,0,0,4,50,false
146,20328,20329,0,0,4,50,false
147,20329,20330,0,0,4,50,false
148,20330,20331,0,0,4,50,false
149,20331,20332,0,0,4,50,false
150,20332,20333,0,0,4,50,false
