"sample","emu_frame","snapshot_index","component","pixels","min_x","max_x","min_y","max_y","center_x","center_y","screenshot","interpretation"
"614","20797","63","0","3","255","255","108","110","255","109","frame_0614.png","unclassified green sprite pixels"
"616","20799","64","0","8","252","254","108","110","253","109","frame_0616.png","unclassified green sprite pixels"
"618","20801","65","0","18","252","255","103","109","253.5","106","frame_0618.png","unclassified green sprite pixels"
"618","20801","65","1","8","248","250","108","110","249","109","frame_0618.png","unclassified green sprite pixels"
"620","20803","66","0","4","254","255","102","104","254.5","103","frame_0620.png","unclassified green sprite pixels"
"620","20803","66","1","19","248","252","103","109","250","106","frame_0620.png","unclassified green sprite pixels"
"620","20803","66","2","8","244","246","108","110","245","109","frame_0620.png","unclassified green sprite pixels"
"642","20825","77","0","3","255","255","108","110","255","109","frame_0642.png","unclassified green sprite pixels"
"644","20827","78","0","8","252","254","108","110","253","109","frame_0644.png","unclassified green sprite pixels"
"646","20829","79","0","18","252","255","103","109","253.5","106","frame_0646.png","unclassified green sprite pixels"
"646","20829","79","1","8","248","250","108","110","249","109","frame_0646.png","unclassified green sprite pixels"
"648","20831","80","0","4","254","255","102","104","254.5","103","frame_0648.png","unclassified green sprite pixels"
"648","20831","80","1","19","248","252","103","109","250","106","frame_0648.png","unclassified green sprite pixels"
"648","20831","80","2","8","244","246","108","110","245","109","frame_0648.png","unclassified green sprite pixels"
"650","20833","81","0","4","251","252","102","104","251.5","103","frame_0650.png","unclassified green sprite pixels"
"650","20833","81","1","3","255","255","102","104","255","103","frame_0650.png","unclassified green sprite pixels"
"650","20833","81","2","19","245","249","103","109","247","106","frame_0650.png","unclassified green sprite pixels"
"650","20833","81","3","8","241","243","108","110","242","109","frame_0650.png","unclassified green sprite pixels"
"652","20835","82","0","11","251","255","101","104","253","102.5","frame_0652.png","unclassified green sprite pixels"
"652","20835","82","1","4","247","248","102","104","247.5","103","frame_0652.png","unclassified green sprite pixels"
"652","20835","82","2","19","241","245","103","109","243","106","frame_0652.png","unclassified green sprite pixels"
"652","20835","82","3","8","237","239","108","110","238","109","frame_0652.png","unclassified green sprite pixels"
"654","20837","83","0","13","248","253","100","104","250.5","102","frame_0654.png","unclassified green sprite pixels"
"654","20837","83","1","4","244","245","102","104","244.5","103","frame_0654.png","unclassified green sprite pixels"
"654","20837","83","2","19","238","242","103","109","240","106","frame_0654.png","unclassified green sprite pixels"
"654","20837","83","3","8","234","236","108","110","235","109","frame_0654.png","unclassified green sprite pixels"
"670","20853","91","0","3","255","255","108","110","255","109","frame_0670.png","unclassified green sprite pixels"
"672","20855","92","0","8","252","254","108","110","253","109","frame_0672.png","unclassified green sprite pixels"
"674","20857","93","0","18","252","255","103","109","253.5","106","frame_0674.png","unclassified green sprite pixels"
"674","20857","93","1","5","249","250","108","110","249.5","109","frame_0674.png","unclassified green sprite pixels"
"676","20859","94","0","4","254","255","102","104","254.5","103","frame_0676.png","unclassified green sprite pixels"
"676","20859","94","1","19","248","252","103","109","250","106","frame_0676.png","unclassified green sprite pixels"
"676","20859","94","2","5","244","246","108","110","245","109","frame_0676.png","unclassified green sprite pixels"
"678","20861","95","0","4","251","252","102","104","251.5","103","frame_0678.png","unclassified green sprite pixels"
"678","20861","95","1","3","255","255","102","104","255","103","frame_0678.png","unclassified green sprite pixels"
"678","20861","95","2","15","245","249","103","108","247","105.5","frame_0678.png","unclassified green sprite pixels"
"678","20861","95","3","6","241","243","108","110","242","109","frame_0678.png","unclassified green sprite pixels"
"680","20863","96","0","11","251","255","101","104","253","102.5","frame_0680.png","unclassified green sprite pixels"
"680","20863","96","1","4","247","248","102","104","247.5","103","frame_0680.png","unclassified green sprite pixels"
"680","20863","96","2","17","241","244","103","109","242.5","106","frame_0680.png","unclassified green sprite pixels"
"680","20863","96","3","8","237","239","108","110","238","109","frame_0680.png","unclassified green sprite pixels"
"880","21063","196","0","2","253","254","124","124","253.5","124","frame_0880.png","unclassified green sprite pixels"
"882","21065","197","0","4","251","252","122","124","251.5","123","frame_0882.png","unclassified green sprite pixels"
"882","21065","197","1","3","255","255","122","124","255","123","frame_0882.png","unclassified green sprite pixels"
"882","21065","197","2","4","245","246","123","124","245.5","123.5","frame_0882.png","unclassified green sprite pixels"
"884","21067","198","0","9","252","255","120","123","253.5","121.5","frame_0884.png","unclassified green sprite pixels"
"884","21067","198","1","4","248","249","121","123","248.5","122","frame_0884.png","unclassified green sprite pixels"
"884","21067","198","2","6","242","243","122","124","242.5","123","frame_0884.png","unclassified green sprite pixels"
"894","21077","203","0","3","255","255","100","102","255","101","frame_0894.png","unclassified green sprite pixels"
"896","21079","204","0","8","252","254","100","102","253","101","frame_0896.png","unclassified green sprite pixels"
"898","21081","205","0","16","253","255","95","101","254","98","frame_0898.png","unclassified green sprite pixels"
"898","21081","205","1","8","249","251","100","102","250","101","frame_0898.png","unclassified green sprite pixels"
"900","21083","206","0","19","250","254","95","101","252","98","frame_0900.png","unclassified green sprite pixels"
"900","21083","206","1","8","246","248","100","102","247","101","frame_0900.png","unclassified green sprite pixels"
