sample,emu_frame,slot,routine,flags,x,y,on_screen,screenshot
480,20663,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0480.png
480,20663,0x1080,$04:E6AF,C8,168.0,112.0,True,frame_0480.png
480,20663,0x16C0,$02:B04A,C8,210.906,88.969,True,frame_0480.png
480,20663,0x1780,$04:FCC0,D0,186.938,119.441,True,frame_0480.png
482,20665,0x1000,$04:DF96,C8,91.5,112.0,True,frame_0482.png
482,20665,0x1080,$04:E6AF,C8,190.0,112.0,True,frame_0482.png
482,20665,0x16C0,$02:B04A,C8,207.312,95.395,True,frame_0482.png
482,20665,0x1780,$04:FCC0,D0,185.938,119.441,True,frame_0482.png
484,20667,0x1000,$04:DF96,C8,86.5,112.0,True,frame_0484.png
484,20667,0x1080,$04:E6AF,C8,212.0,112.0,True,frame_0484.png
484,20667,0x10C0,$04:E6AF,C8,92.0,112.0,True,frame_0484.png
484,20667,0x16C0,$02:B04A,C8,203.719,101.805,True,frame_0484.png
484,20667,0x1780,$04:FCC0,D0,184.938,119.441,True,frame_0484.png
486,20669,0x1000,$04:DF96,C8,81.5,112.0,True,frame_0486.png
486,20669,0x10C0,$04:E6AF,C8,114.0,112.0,True,frame_0486.png
486,20669,0x1400,$04:FABA,C8,202.688,101.469,True,frame_0486.png
486,20669,0x16C0,$04:FCC0,D0,203.719,101.805,True,frame_0486.png
486,20669,0x1780,$04:FCC0,D0,183.938,119.441,True,frame_0486.png
488,20671,0x1000,$04:DF96,C8,76.5,112.0,True,frame_0488.png
488,20671,0x10C0,$04:E6AF,C8,136.0,112.0,True,frame_0488.png
488,20671,0x1400,$04:FABA,C8,202.062,102.383,True,frame_0488.png
488,20671,0x16C0,$04:FCC0,D0,202.719,101.805,True,frame_0488.png
488,20671,0x1780,$04:FCC0,D0,182.938,119.441,True,frame_0488.png
490,20673,0x1000,$04:DF96,C8,71.5,112.0,True,frame_0490.png
490,20673,0x10C0,$04:E6AF,C8,158.0,112.0,True,frame_0490.png
490,20673,0x1400,$04:FABA,C8,201.438,103.266,True,frame_0490.png
490,20673,0x16C0,$04:FCC0,D0,201.719,101.805,True,frame_0490.png
490,20673,0x1780,$04:FCC0,D0,181.938,119.441,True,frame_0490.png
492,20675,0x1000,$04:DF96,C8,66.5,112.0,True,frame_0492.png
492,20675,0x10C0,$04:E6AF,C8,180.0,112.0,True,frame_0492.png
492,20675,0x1400,$04:FABA,C8,200.812,104.117,True,frame_0492.png
492,20675,0x16C0,$04:FCC0,D0,200.719,101.805,True,frame_0492.png
492,20675,0x1780,$04:FCC0,D0,180.938,119.441,True,frame_0492.png
494,20677,0x1000,$04:DF96,C8,61.5,112.0,True,frame_0494.png
494,20677,0x10C0,$04:E6AF,C8,202.0,112.0,True,frame_0494.png
494,20677,0x1400,$04:FABA,C8,200.188,104.938,True,frame_0494.png
494,20677,0x16C0,$04:FCC0,D0,199.719,101.805,True,frame_0494.png
496,20679,0x1000,$04:DF96,C8,56.5,112.0,True,frame_0496.png
496,20679,0x10C0,$04:E6AF,C8,224.0,112.0,True,frame_0496.png
496,20679,0x1400,$04:FABA,C8,199.562,105.727,True,frame_0496.png
496,20679,0x16C0,$04:FCC0,D0,198.719,101.805,True,frame_0496.png
498,20681,0x1000,$04:DF96,C8,51.5,112.0,True,frame_0498.png
498,20681,0x1080,$04:E6AF,C8,57.0,112.0,True,frame_0498.png
498,20681,0x10C0,$04:E6AF,C8,246.0,112.0,True,frame_0498.png
498,20681,0x1400,$04:FABA,C8,198.938,106.484,True,frame_0498.png
498,20681,0x16C0,$04:FCC0,D0,197.719,101.805,True,frame_0498.png
500,20683,0x1000,$04:DF96,C8,46.5,112.0,True,frame_0500.png
500,20683,0x1080,$04:E6AF,C8,79.0,112.0,True,frame_0500.png
500,20683,0x1400,$04:FABA,C8,198.312,107.211,True,frame_0500.png
500,20683,0x16C0,$04:FCC0,D0,196.719,101.805,True,frame_0500.png
502,20685,0x1000,$04:DF96,C8,41.5,112.0,True,frame_0502.png
502,20685,0x1080,$04:E6AF,C8,101.0,112.0,True,frame_0502.png
502,20685,0x1400,$04:FABA,C8,197.688,107.906,True,frame_0502.png
502,20685,0x16C0,$04:FCC0,D0,195.719,101.805,True,frame_0502.png
504,20687,0x1000,$04:DF96,C8,36.5,112.0,True,frame_0504.png
504,20687,0x1080,$04:E6AF,C8,123.0,112.0,True,frame_0504.png
504,20687,0x1400,$04:FABA,C8,197.062,108.57,True,frame_0504.png
504,20687,0x16C0,$04:FCC0,D0,194.719,101.805,True,frame_0504.png
506,20689,0x1000,$04:DF96,C8,31.5,112.0,True,frame_0506.png
