sample,emu_frame,player_x,player_y,mode,snapshot_index,screenshot,legacy_y_scratch
0,20183,96,112,replay,0,frame_0000.png,112
2,20185,96,112,replay,1,frame_0002.png,112
4,20187,96,112,replay,2,frame_0004.png,112
6,20189,96,112,replay,3,frame_0006.png,112
8,20191,96,112,replay,4,frame_0008.png,112
10,20193,96,112,replay,5,frame_0010.png,112
12,20195,96,112,replay,6,frame_0012.png,112
14,20197,96,112,replay,7,frame_0014.png,112
16,20199,96,112,replay,8,frame_0016.png,112
18,20201,96,112,replay,9,frame_0018.png,112
20,20203,96,112,replay,10,frame_0020.png,112
22,20205,96,112,replay,11,frame_0022.png,112
24,20207,96,112,replay,12,frame_0024.png,112
26,20209,96,112,replay,13,frame_0026.png,112
28,20211,96,112,replay,14,frame_0028.png,112
30,20213,96,112,replay,15,frame_0030.png,112
32,20215,96,112,replay,16,frame_0032.png,112
34,20217,96,112,replay,17,frame_0034.png,112
36,20219,96,112,replay,18,frame_0036.png,112
38,20221,96,112,replay,19,frame_0038.png,112
40,20223,96,112,replay,20,frame_0040.png,112
42,20225,96,112,replay,21,frame_0042.png,112
44,20227,96,112,replay,22,frame_0044.png,112
46,20229,96,112,replay,23,frame_0046.png,112
48,20231,96,112,replay,24,frame_0048.png,112
50,20233,96,112,replay,25,frame_0050.png,112
52,20235,96,112,replay,26,frame_0052.png,112
54,20237,96,112,replay,27,frame_0054.png,112
56,20239,96,112,replay,28,frame_0056.png,112
58,20241,96,112,replay,29,frame_0058.png,112
60,20243,96,112,replay,30,frame_0060.png,112
500,20683,131,97,replay,31,frame_0500.png,97
502,20685,136,97,replay,32,frame_0502.png,97
504,20687,141,97,replay,33,frame_0504.png,97
506,20689,146,97,replay,34,frame_0506.png,97
508,20691,151,97,replay,35,frame_0508.png,97
510,20693,156,97,replay,36,frame_0510.png,97
512,20695,161,97,replay,37,frame_0512.png,97
514,20697,166,97,replay,38,frame_0514.png,97
516,20699,171,97,replay,39,frame_0516.png,97
518,20701,176,97,replay,40,frame_0518.png,97
520,20703,181,97,replay,41,frame_0520.png,97
522,20705,186,97,replay,42,frame_0522.png,97
524,20707,186,102,replay,43,frame_0524.png,99
526,20709,186,107,replay,44,frame_0526.png,104
528,20711,186,112,replay,45,frame_0528.png,109
530,20713,186,117,replay,46,frame_0530.png,114
532,20715,186,122,replay,47,frame_0532.png,119
534,20717,186,127,replay,48,frame_0534.png,124
536,20719,186,132,replay,49,frame_0536.png,129
538,20721,186,137,replay,50,frame_0538.png,134
540,20723,186,142,replay,51,frame_0540.png,139
542,20725,181,142,replay,52,frame_0542.png,142
544,20727,176,142,replay,53,frame_0544.png,142
546,20729,171,142,replay,54,frame_0546.png,142
548,20731,171,147,replay,55,frame_0548.png,144
550,20733,171,152,replay,56,frame_0550.png,149
552,20735,171,157,replay,57,frame_0552.png,154
554,20737,171,162,replay,58,frame_0554.png,159
556,20739,171,167,replay,59,frame_0556.png,164
558,20741,171,172,replay,60,frame_0558.png,169
560,20743,166,172,replay,61,frame_0560.png,172
562,20745,161,172,replay,62,frame_0562.png,172
564,20747,156,172,replay,63,frame_0564.png,172
566,20749,156,177,replay,64,frame_0566.png,174
568,20751,156,182,replay,65,frame_0568.png,179
570,20753,156,187,replay,66,frame_0570.png,184
572,20755,151,187,replay,67,frame_0572.png,187
574,20757,146,187,replay,68,frame_0574.png,187
576,20759,141,187,replay,69,frame_0576.png,187
578,20761,136,187,replay,70,frame_0578.png,187
580,20763,131,187,replay,71,frame_0580.png,187
582,20765,126,187,replay,72,frame_0582.png,187
584,20767,121,187,replay,73,frame_0584.png,187
586,20769,116,187,replay,74,frame_0586.png,187
588,20771,111,187,replay,75,frame_0588.png,187
590,20773,106,187,replay,76,frame_0590.png,187
592,20775,101,187,replay,77,frame_0592.png,187
594,20777,96,187,replay,78,frame_0594.png,187
596,20779,91,187,replay,79,frame_0596.png,187
598,20781,86,187,replay,80,frame_0598.png,187
600,20783,81,187,replay,81,frame_0600.png,187
602,20785,76,187,replay,82,frame_0602.png,187
604,20787,71,187,replay,83,frame_0604.png,187
606,20789,66,187,replay,84,frame_0606.png,187
608,20791,61,187,replay,85,frame_0608.png,187
610,20793,56,187,replay,86,frame_0610.png,187
612,20795,51,187,replay,87,frame_0612.png,187
614,20797,46,187,replay,88,frame_0614.png,187
616,20799,41,187,replay,89,frame_0616.png,187
618,20801,36,187,replay,90,frame_0618.png,187
620,20803,36,182,replay,91,frame_0620.png,184
622,20805,36,177,replay,92,frame_0622.png,179
624,20807,36,172,replay,93,frame_0624.png,174
626,20809,36,167,replay,94,frame_0626.png,169
628,20811,36,162,replay,95,frame_0628.png,164
630,20813,36,157,replay,96,frame_0630.png,159
632,20815,36,152,replay,97,frame_0632.png,154
634,20817,36,147,replay,98,frame_0634.png,149
636,20819,36,142,replay,99,frame_0636.png,144
638,20821,36,137,replay,100,frame_0638.png,139
640,20823,36,132,replay,101,frame_0640.png,134
