status,x_address,y_address,score,samples,valid_fraction,motion_changes,x_range,y_range
UNVERIFIED,0x1756,0x1757,16215.02,225,0.564,43,0..244,0..255
UNVERIFIED,0x1B05,0x1B06,15209.94,225,0.569,1,0..249,0..4
UNVERIFIED,0x1B02,0x1B03,15209.94,225,0.569,1,0..249,0..4
UNVERIFIED,0x1042,0x1043,15159.5,225,0.56,2,0..249,0..4
UNVERIFIED,0x181D,0x181E,14981.76,225,0.56,9,0..253,0..9
UNVERIFIED,0x16DD,0x16DE,14727.94,225,0.733,15,0..254,0..9
UNVERIFIED,0x179D,0x179E,14698.24,225,0.76,15,0..254,0..9
UNVERIFIED,0x1AC5,0x1AC6,14643.97,225,0.618,1,0..249,0..4
UNVERIFIED,0x1AC2,0x1AC3,14643.97,225,0.618,1,0..249,0..4
UNVERIFIED,0x186A,0x186B,13990.12,225,0.556,1,0..238,0..4
UNVERIFIED,0x175D,0x175E,13923.55,225,0.787,10,0..253,0..12
UNVERIFIED,0x1790,0x1791,13913.72,225,0.711,161,0..255,0..255
UNVERIFIED,0x1710,0x1711,13826.8,225,0.573,181,0..252,0..255
UNVERIFIED,0x182A,0x182B,13781.95,225,0.582,1,0..238,0..4
UNVERIFIED,0x16D0,0x16D1,13564.85,225,0.693,167,0..255,0..254
UNVERIFIED,0x1700,0x1701,13529.67,225,0.636,7,0..216,0..255
UNVERIFIED,0x183A,0x183B,13505.63,225,0.582,14,0..200,0..193
UNVERIFIED,0x171D,0x171E,13444.55,225,0.809,10,0..253,0..12
UNVERIFIED,0x187A,0x187B,13372.35,225,0.556,14,0..200,0..193
UNVERIFIED,0x01FD,0x01FE,13222.27,225,1.0,61,36..201,2..215
