status,x_address,y_address,valid_fraction,motion_changes,x_range,y_range
UNVERIFIED,0x00CF,0x00D0,0.871,224,1..254,0..254
UNVERIFIED,0x00CD,0x00CE,0.884,224,1..254,0..252
UNVERIFIED,0x00CE,0x00CF,0.871,224,0..252,1..254
UNVERIFIED,0x0068,0x0069,0.858,224,16..32,3..255
UNVERIFIED,0x090B,0x090C,0.893,200,32..162,5..255
UNVERIFIED,0x0908,0x0909,0.916,196,8..254,56..224
UNVERIFIED,0x090C,0x090D,0.916,196,5..255,56..224
UNVERIFIED,0x0907,0x0908,0.893,196,32..226,8..254
UNVERIFIED,0x1710,0x1711,0.573,181,0..252,0..255
UNVERIFIED,0x0917,0x0918,0.924,173,32..105,3..255
UNVERIFIED,0x16F5,0x16F6,0.756,168,0..238,0..110
UNVERIFIED,0x16D0,0x16D1,0.693,167,0..255,0..254
UNVERIFIED,0x16E6,0x16E7,0.756,167,0..254,0..8
UNVERIFIED,0x091C,0x091D,0.782,167,1..255,56..224
UNVERIFIED,0x0918,0x0919,0.782,167,3..255,56..224
UNVERIFIED,0x0913,0x0914,0.924,166,32..105,3..252
UNVERIFIED,0x091B,0x091C,0.916,164,32..105,1..255
UNVERIFIED,0x1725,0x1726,0.68,163,0..15,0..255
UNVERIFIED,0x1726,0x1727,0.831,163,0..255,0..12
UNVERIFIED,0x0914,0x0915,0.831,163,3..252,56..224
